Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
01	La Jacetania	2017	Regadío	1646,0	1439,0	1135,0	301,0	3,0	186,0	186,0	0,0	0,0	21,0	21,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
01	La Jacetania	2017	Secano	184136,0	21434,0	17669,0	3590,0	175,0	5670,0	1751,0	1931,0	1988,0	139804,0	83524,0	15106,0	41174,0	17228,0	0,0	9230,0	3227,0	4771,0
02	Alto Gállego	2017	Regadío	789,0	755,0	562,0	169,0	24,0	32,0	32,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2017	Secano	135381,0	6877,0	5171,0	1677,0	29,0	2522,0	2522,0	0,0	0,0	109733,0	66050,0	6152,0	37531,0	16249,0	0,0	11429,0	2412,0	2408,0
03	Sobrarbe	2017	Regadío	1356,0	1291,0	1029,0	257,0	5,0	58,0	58,0	0,0	0,0	7,0	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
03	Sobrarbe	2017	Secano	219218,0	10916,0	8635,0	1889,0	392,0	6040,0	4205,0	24,0	1811,0	174996,0	100274,0	15270,0	59452,0	27266,0	0,0	19044,0	2131,0	6091,0
04	La Ribagorza	2017	Regadío	1112,0	1058,0	754,0	293,0	11,0	39,0	39,0	0,0	0,0	15,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
04	La Ribagorza	2017	Secano	244865,0	28251,0	22348,0	4486,0	1417,0	5896,0	5896,0	0,0	0,0	184105,0	90848,0	32989,0	60268,0	26613,0	0,0	17528,0	3474,0	5611,0
05	Cinco Villas	2017	Regadío	71048,0	70971,0	64577,0	4739,0	1655,0	0,0	0,0	0,0	0,0	77,0	77,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
05	Cinco Villas	2017	Secano	235206,0	76181,0	53602,0	21158,0	1421,0	45934,0	0,0	11233,0	34701,0	94518,0	66275,0	8006,0	20237,0	18573,0	0,0	3086,0	8288,0	7199,0
06	Hoya de Huesca / Plana de Uesca	2017	Regadío	24436,0	24355,0	20951,0	1972,0	1432,0	0,0	0,0	0,0	0,0	81,0	81,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
06	Hoya de Huesca / Plana de Uesca	2017	Secano	228171,0	100256,0	83733,0	10561,0	5962,0	42792,0	0,0	1207,0	41585,0	69831,0	50535,0	8003,0	11293,0	15292,0	0,0	4710,0	6445,0	4137,0
07	Somontano de Barbastro	2017	Regadío	16843,0	16804,0	13324,0	1835,0	1645,0	0,0	0,0	0,0	0,0	39,0	39,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
07	Somontano de Barbastro	2017	Secano	100348,0	36771,0	23330,0	5940,0	7501,0	20704,0	0,0	351,0	20353,0	35592,0	18529,0	10326,0	6737,0	7281,0	0,0	1201,0	3393,0	2687,0
08	Cinca Medio	2017	Regadío	33749,0	33578,0	27110,0	3538,0	2930,0	0,0	0,0	0,0	0,0	171,0	171,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
08	Cinca Medio	2017	Secano	23590,0	5983,0	3249,0	2123,0	611,0	5593,0	0,0	1047,0	4546,0	5039,0	1232,0	556,0	3251,0	6975,0	0,0	1309,0	2208,0	3458,0
09	La Litera / La Llitera	2017	Regadío	26265,0	26255,0	23007,0	1534,0	1714,0	0,0	0,0	0,0	0,0	10,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
09	La Litera / La Llitera	2017	Secano	47146,0	17231,0	12463,0	3100,0	1668,0	8162,0	0,0	110,0	8052,0	16955,0	7450,0	6928,0	2577,0	4798,0	0,0	1683,0	1996,0	1119,0
10	Los Monegros	2017	Regadío	76064,0	75790,0	68423,0	6083,0	1284,0	0,0	0,0	0,0	0,0	274,0	274,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
10	Los Monegros	2017	Secano	200534,0	108015,0	62442,0	43743,0	1830,0	50780,0	0,0	20975,0	29805,0	25991,0	20260,0	3557,0	2174,0	15748,0	0,0	2691,0	8506,0	4551,0
11	Bajo Cinca / Baix Cinca	2017	Regadío	35411,0	35374,0	15566,0	4643,0	15165,0	0,0	0,0	0,0	0,0	37,0	37,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
11	Bajo Cinca / Baix Cinca	2017	Secano	106663,0	38943,0	16561,0	19123,0	3259,0	27594,0	0,0	10929,0	16665,0	29228,0	14029,0	15199,0	0,0	10898,0	0,0	1713,0	4374,0	4811,0
12	Tarazona y el Moncayo	2017	Regadío	6873,0	6821,0	2797,0	3241,0	783,0	0,0	0,0	0,0	0,0	52,0	52,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
12	Tarazona y el Moncayo	2017	Secano	38373,0	9876,0	4395,0	4689,0	792,0	13554,0	0,0	6913,0	6641,0	12517,0	8639,0	555,0	3323,0	2426,0	0,0	624,0	1360,0	442,0
13	Campo de Borja	2017	Regadío	12571,0	12560,0	5135,0	2770,0	4655,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
13	Campo de Borja	2017	Secano	56420,0	24965,0	7761,0	8699,0	8505,0	16946,0	0,0	8836,0	8110,0	10563,0	6117,0	4446,0	0,0	3946,0	0,0	791,0	1921,0	1234,0
14	Aranda	2017	Regadío	1037,0	1032,0	84,0	735,0	213,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
14	Aranda	2017	Secano	55132,0	7851,0	2207,0	2987,0	2657,0	21584,0	0,0	10633,0	10951,0	23932,0	10335,0	4647,0	8950,0	1765,0	0,0	245,0	970,0	550,0
15	Ribera Alta del Ebro	2017	Regadío	15897,0	15646,0	13709,0	1295,0	642,0	0,0	0,0	0,0	0,0	251,0	251,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
15	Ribera Alta del Ebro	2017	Secano	25646,0	10709,0	5744,0	4854,0	111,0	6359,0	0,0	3113,0	3246,0	2327,0	2089,0	238,0	0,0	6251,0	0,0	1869,0	2390,0	1992,0
16	Valdejalón	2017	Regadío	17502,0	17455,0	5335,0	2975,0	9145,0	0,0	0,0	0,0	0,0	47,0	47,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
16	Valdejalón	2017	Secano	76454,0	37147,0	14391,0	16916,0	5840,0	25850,0	0,0	9176,0	16674,0	6516,0	5135,0	1381,0	0,0	6941,0	0,0	1972,0	3956,0	1013,0
17	D.C. Zaragoza	2017	Regadío	31850,0	31775,0	25495,0	4618,0	1662,0	0,0	0,0	0,0	0,0	75,0	75,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
17	D.C. Zaragoza	2017	Secano	197032,0	68627,0	33637,0	34390,0	600,0	80463,0	0,0	41972,0	38491,0	19460,0	16540,0	2920,0	0,0	28482,0	0,0	9866,0	16321,0	2295,0
18	Ribera Baja del Ebro	2017	Regadío	14929,0	14925,0	11555,0	1079,0	2291,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
18	Ribera Baja del Ebro	2017	Secano	84222,0	41930,0	20841,0	20959,0	130,0	30733,0	0,0	11807,0	18926,0	5148,0	2284,0	2864,0	0,0	6411,0	0,0	1173,0	3043,0	2195,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Regadío	13925,0	13925,0	4303,0	2584,0	7038,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2017	Secano	85935,0	23988,0	7007,0	8494,0	8487,0	30741,0	0,0	9036,0	21705,0	22334,0	12850,0	9484,0	0,0	8872,0	0,0	574,0	2691,0	5607,0
20	Comunidad de Calatayud	2017	Regadío	12299,0	12225,0	3438,0	4622,0	4165,0	0,0	0,0	0,0	0,0	74,0	74,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
20	Comunidad de Calatayud	2017	Secano	238944,0	68935,0	31029,0	23257,0	14649,0	90659,0	0,0	48093,0	42566,0	67347,0	37505,0	14118,0	15724,0	12003,0	0,0	1479,0	6331,0	4193,0
21	Campo de Cariñena	2017	Regadío	8389,0	8378,0	1935,0	1055,0	5388,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
21	Campo de Cariñena	2017	Secano	68947,0	37694,0	13362,0	13047,0	11285,0	15673,0	0,0	9601,0	6072,0	11461,0	10756,0	705,0	0,0	4119,0	0,0	755,0	2508,0	856,0
22	Campo de Belchite	2017	Regadío	4971,0	4960,0	1376,0	1535,0	2049,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
