Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22001	Abiego	2017	Regadío	9,0	9,0	3,0	4,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22001	Abiego	2017	Secano	3839,0	2232,0	1639,0	259,0	334,0	307,0	0,0	10,0	297,0	1173,0	616,0	456,0	101,0	127,0	0,0	17,0	81,0	29,0
22002	Abizanda	2017	Regadío	2,0	2,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22002	Abizanda	2017	Secano	4463,0	719,0	467,0	100,0	152,0	39,0	39,0	0,0	0,0	3327,0	2674,0	32,0	621,0	378,0	0,0	14,0	79,0	285,0
22003	Adahuesca	2017	Regadío	20,0	20,0	1,0	4,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22003	Adahuesca	2017	Secano	5255,0	990,0	614,0	119,0	257,0	1378,0	0,0	3,0	1375,0	2795,0	1945,0	492,0	358,0	92,0	0,0	13,0	50,0	29,0
22004	Agüero	2017	Regadío	28,0	28,0	1,0	27,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22004	Agüero	2017	Secano	9341,0	405,0	111,0	241,0	53,0	1121,0	0,0	13,0	1108,0	7672,0	7322,0	219,0	131,0	143,0	0,0	25,0	76,0	42,0
22006	Aísa	2017	Regadío	43,0	42,0	26,0	16,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22006	Aísa	2017	Secano	8149,0	198,0	116,0	82,0	0,0	386,0	386,0	0,0	0,0	6599,0	3014,0	1029,0	2556,0	966,0	0,0	776,0	119,0	71,0
22007	Albalate de Cinca	2017	Regadío	2915,0	2911,0	1883,0	398,0	630,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22007	Albalate de Cinca	2017	Secano	1515,0	197,0	32,0	148,0	17,0	586,0	0,0	299,0	287,0	23,0	22,0	1,0	0,0	709,0	0,0	243,0	142,0	324,0
22008	Albalatillo	2017	Regadío	428,0	426,0	382,0	41,0	3,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22008	Albalatillo	2017	Secano	478,0	138,0	34,0	104,0	0,0	213,0	0,0	18,0	195,0	40,0	20,0	20,0	0,0	87,0	0,0	28,0	38,0	21,0
22009	Albelda	2017	Regadío	2545,0	2544,0	1802,0	241,0	501,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22009	Albelda	2017	Secano	2689,0	1088,0	722,0	215,0	151,0	1034,0	0,0	6,0	1028,0	234,0	26,0	82,0	126,0	333,0	0,0	134,0	122,0	77,0
22011	Albero Alto	2017	Regadío	94,0	94,0	89,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22011	Albero Alto	2017	Secano	1841,0	1467,0	1287,0	179,0	1,0	99,0	0,0	0,0	99,0	184,0	16,0	36,0	132,0	91,0	0,0	8,0	53,0	30,0
22012	Albero Bajo	2017	Regadío	1296,0	1296,0	1220,0	76,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22012	Albero Bajo	2017	Secano	930,0	525,0	489,0	24,0	12,0	127,0	0,0	0,0	127,0	91,0	0,0	0,0	91,0	187,0	0,0	12,0	92,0	83,0
22013	Alberuela de Tubo	2017	Regadío	1467,0	1467,0	1320,0	135,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22013	Alberuela de Tubo	2017	Secano	615,0	48,0	35,0	11,0	2,0	357,0	0,0	149,0	208,0	67,0	55,0	12,0	0,0	143,0	0,0	27,0	71,0	45,0
22014	Alcalá de Gurrea	2017	Regadío	590,0	590,0	409,0	52,0	129,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22014	Alcalá de Gurrea	2017	Secano	6600,0	3765,0	3521,0	178,0	66,0	721,0	0,0	10,0	711,0	723,0	290,0	0,0	433,0	1391,0	0,0	1133,0	142,0	116,0
22015	Alcalá del Obispo	2017	Regadío	700,0	700,0	627,0	72,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22015	Alcalá del Obispo	2017	Secano	4118,0	3019,0	2743,0	240,0	36,0	78,0	0,0	7,0	71,0	607,0	254,0	181,0	172,0	414,0	0,0	182,0	116,0	116,0
22016	Alcampell	2017	Regadío	1435,0	1433,0	1347,0	49,0	37,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22016	Alcampell	2017	Secano	4299,0	2441,0	1812,0	339,0	290,0	580,0	0,0	6,0	574,0	1007,0	659,0	172,0	176,0	271,0	0,0	88,0	152,0	31,0
22017	Alcolea de Cinca	2017	Regadío	4248,0	4209,0	3256,0	608,0	345,0	0,0	0,0	0,0	0,0	39,0	39,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22017	Alcolea de Cinca	2017	Secano	4079,0	1126,0	421,0	683,0	22,0	2149,0	0,0	550,0	1599,0	204,0	199,0	5,0	0,0	600,0	0,0	145,0	264,0	191,0
22018	Alcubierre	2017	Regadío	630,0	630,0	615,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22018	Alcubierre	2017	Secano	10873,0	5245,0	4012,0	1162,0	71,0	2688,0	0,0	1020,0	1668,0	2624,0	2106,0	518,0	0,0	316,0	0,0	59,0	198,0	59,0
22019	Alerre	2017	Regadío	16,0	16,0	12,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22019	Alerre	2017	Secano	871,0	659,0	611,0	38,0	10,0	21,0	0,0	0,0	21,0	124,0	18,0	81,0	25,0	67,0	0,0	6,0	52,0	9,0
22020	Alfántega	2017	Regadío	348,0	344,0	238,0	40,0	66,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22020	Alfántega	2017	Secano	511,0	68,0	20,0	42,0	6,0	65,0	0,0	11,0	54,0	144,0	2,0	0,0	142,0	234,0	0,0	23,0	25,0	186,0
22021	Almudévar	2017	Regadío	3861,0	3858,0	3592,0	190,0	76,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22021	Almudévar	2017	Secano	16236,0	11973,0	10260,0	1136,0	577,0	1570,0	0,0	32,0	1538,0	1572,0	316,0	244,0	1012,0	1121,0	0,0	221,0	655,0	245,0
22022	Almunia de San Juan	2017	Regadío	838,0	832,0	756,0	61,0	15,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22022	Almunia de San Juan	2017	Secano	2730,0	990,0	697,0	276,0	17,0	539,0	0,0	12,0	527,0	961,0	40,0	277,0	644,0	240,0	0,0	58,0	90,0	92,0
22023	Almuniente	2017	Regadío	2806,0	2806,0	2377,0	194,0	235,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22023	Almuniente	2017	Secano	949,0	51,0	34,0	17,0	0,0	208,0	0,0	1,0	207,0	335,0	216,0	7,0	112,0	355,0	0,0	88,0	104,0	163,0
22024	Alquézar	2017	Regadío	17,0	17,0	6,0	10,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22024	Alquézar	2017	Secano	3196,0	886,0	385,0	276,0	225,0	1439,0	0,0	10,0	1429,0	753,0	269,0	400,0	84,0	118,0	0,0	26,0	57,0	35,0
22025	Altorricón	2017	Regadío	2690,0	2690,0	2355,0	146,0	189,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22025	Altorricón	2017	Secano	471,0	31,0	18,0	3,0	10,0	27,0	0,0	1,0	26,0	29,0	2,0	0,0	27,0	384,0	0,0	194,0	164,0	26,0
22027	Angüés	2017	Regadío	1,0	1,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22027	Angüés	2017	Secano	5628,0	3386,0	2882,0	403,0	101,0	614,0	0,0	10,0	604,0	1251,0	41,0	964,0	246,0	377,0	0,0	45,0	254,0	78,0
22028	Ansó	2017	Regadío	11,0	11,0	1,0	10,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22028	Ansó	2017	Secano	21269,0	59,0	11,0	48,0	0,0	192,0	192,0	0,0	0,0	17031,0	11400,0	1356,0	4275,0	3987,0	0,0	3645,0	130,0	212,0
22029	Antillón	2017	Regadío	8,0	8,0	4,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22029	Antillón	2017	Secano	2227,0	1720,0	1512,0	69,0	139,0	229,0	0,0	3,0	226,0	218,0	40,0	71,0	107,0	60,0	0,0	11,0	37,0	12,0
22032	Aragüés del Puerto	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22032	Aragüés del Puerto	2017	Secano	6441,0	124,0	26,0	95,0	3,0	115,0	115,0	0,0	0,0	5710,0	3189,0	954,0	1567,0	492,0	0,0	356,0	52,0	84,0
22035	Arén	2017	Regadío	82,0	82,0	63,0	19,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22035	Arén	2017	Secano	11830,0	1319,0	1098,0	207,0	14,0	363,0	363,0	0,0	0,0	9659,0	3634,0	1661,0	4364,0	489,0	0,0	143,0	166,0	180,0
22036	Argavieso	2017	Regadío	274,0	271,0	260,0	11,0	0,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22036	Argavieso	2017	Secano	687,0	444,0	414,0	25,0	5,0	24,0	0,0	0,0	24,0	183,0	11,0	95,0	77,0	36,0	0,0	2,0	23,0	11,0
22037	Arguis	2017	Regadío	15,0	15,0	8,0	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22037	Arguis	2017	Secano	6274,0	294,0	239,0	55,0	0,0	1450,0	0,0	36,0	1414,0	4323,0	3718,0	92,0	513,0	207,0	0,0	44,0	89,0	74,0
22039	Ayerbe	2017	Regadío	685,0	684,0	534,0	101,0	49,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22039	Ayerbe	2017	Secano	5581,0	2409,0	1713,0	383,0	313,0	1711,0	0,0	17,0	1694,0	1126,0	800,0	66,0	260,0	335,0	0,0	60,0	211,0	64,0
22040	Azanuy-Alins	2017	Regadío	1,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22040	Azanuy-Alins	2017	Secano	5095,0	2781,0	2100,0	475,0	206,0	742,0	0,0	5,0	737,0	1385,0	317,0	604,0	464,0	187,0	0,0	11,0	120,0	56,0
22041	Azara	2017	Regadío	2,0	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22041	Azara	2017	Secano	1453,0	952,0	695,0	95,0	162,0	78,0	0,0	1,0	77,0	352,0	111,0	209,0	32,0	71,0	0,0	6,0	55,0	10,0
22042	Azlor	2017	Regadío	13,0	13,0	1,0	6,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22042	Azlor	2017	Secano	1578,0	944,0	581,0	102,0	261,0	78,0	0,0	2,0	76,0	494,0	150,0	262,0	82,0	62,0	0,0	14,0	36,0	12,0
22043	Baells	2017	Regadío	29,0	29,0	20,0	4,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22043	Baells	2017	Secano	3968,0	1627,0	1229,0	258,0	140,0	706,0	0,0	6,0	700,0	1536,0	1204,0	259,0	73,0	99,0	0,0	19,0	73,0	7,0
22044	Bailo	2017	Regadío	93,0	93,0	81,0	10,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22044	Bailo	2017	Secano	16257,0	2559,0	2168,0	384,0	7,0	57,0	57,0	0,0	0,0	13125,0	6972,0	1536,0	4617,0	516,0	0,0	59,0	195,0	262,0
22045	Baldellou	2017	Regadío	71,0	71,0	53,0	17,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22045	Baldellou	2017	Secano	3003,0	673,0	270,0	262,0	141,0	283,0	0,0	4,0	279,0	1749,0	1492,0	231,0	26,0	298,0	0,0	45,0	37,0	216,0
22046	Ballobar	2017	Regadío	773,0	773,0	364,0	112,0	297,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22046	Ballobar	2017	Secano	12022,0	7796,0	3632,0	4000,0	164,0	2996,0	0,0	271,0	2725,0	465,0	455,0	10,0	0,0	765,0	0,0	98,0	561,0	106,0
22047	Banastás	2017	Regadío	3,0	3,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22047	Banastás	2017	Secano	467,0	386,0	379,0	1,0	6,0	0,0	0,0	0,0	0,0	38,0	32,0	0,0	6,0	43,0	0,0	3,0	24,0	16,0
22048	Barbastro	2017	Regadío	3360,0	3349,0	1534,0	787,0	1028,0	0,0	0,0	0,0	0,0	11,0	11,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22048	Barbastro	2017	Secano	7426,0	2951,0	1262,0	512,0	1177,0	865,0	0,0	23,0	842,0	1984,0	342,0	761,0	881,0	1626,0	0,0	228,0	932,0	466,0
22049	Barbués	2017	Regadío	1684,0	1684,0	1444,0	240,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22049	Barbués	2017	Secano	280,0	14,0	11,0	3,0	0,0	62,0	0,0	2,0	60,0	64,0	0,0	0,0	64,0	140,0	0,0	33,0	58,0	49,0
22050	Barbuñales	2017	Regadío	2,0	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22050	Barbuñales	2017	Secano	1895,0	1089,0	905,0	128,0	56,0	77,0	0,0	5,0	72,0	657,0	408,0	167,0	82,0	72,0	0,0	7,0	38,0	27,0
22051	Bárcabo	2017	Regadío	8,0	8,0	3,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22051	Bárcabo	2017	Secano	8780,0	923,0	474,0	377,0	72,0	1835,0	0,0	24,0	1811,0	5819,0	5315,0	235,0	269,0	203,0	0,0	13,0	102,0	88,0
22052	Belver de Cinca	2017	Regadío	6172,0	6150,0	3532,0	771,0	1847,0	0,0	0,0	0,0	0,0	22,0	22,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22052	Belver de Cinca	2017	Secano	2096,0	373,0	85,0	257,0	31,0	885,0	0,0	358,0	527,0	134,0	128,0	6,0	0,0	704,0	0,0	155,0	219,0	330,0
22053	Benabarre	2017	Regadío	26,0	26,0	11,0	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22053	Benabarre	2017	Secano	15768,0	4852,0	3835,0	864,0	153,0	46,0	46,0	0,0	0,0	10221,0	5934,0	3454,0	833,0	649,0	0,0	139,0	327,0	183,0
22054	Benasque	2017	Regadío	12,0	12,0	5,0	6,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22054	Benasque	2017	Secano	23306,0	136,0	69,0	67,0	0,0	2590,0	2590,0	0,0	0,0	10797,0	4894,0	2012,0	3891,0	9783,0	0,0	9114,0	275,0	394,0
22055	Berbegal	2017	Regadío	1343,0	1343,0	1231,0	89,0	23,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22055	Berbegal	2017	Secano	3560,0	2696,0	2206,0	376,0	114,0	154,0	0,0	20,0	134,0	434,0	14,0	114,0	306,0	276,0	0,0	42,0	123,0	111,0
22057	Bielsa	2017	Regadío	24,0	24,0	17,0	7,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22057	Bielsa	2017	Secano	19579,0	109,0	103,0	6,0	0,0	447,0	447,0	0,0	0,0	13625,0	6890,0	895,0	5840,0	5398,0	0,0	4485,0	107,0	806,0
22058	Bierge	2017	Regadío	27,0	27,0	15,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22058	Bierge	2017	Secano	14593,0	1614,0	801,0	519,0	294,0	5349,0	0,0	82,0	5267,0	7356,0	4485,0	2372,0	499,0	274,0	0,0	19,0	141,0	114,0
22059	Biescas	2017	Regadío	265,0	262,0	212,0	50,0	0,0	1,0	1,0	0,0	0,0	2,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
