Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) TIERRAS DE CULTIVO. Total	Tierras ocupadas por cultivos herbáceos	Barbechos y otras tierras agrícolas no ocupadas	Tierras ocupadas por cultivos leñosos	(B) PRADERAS Y PASTIZALES. Total	Prados naturales	Pastizales	Eriales	(C) TERRENOS FORESTALES. Total	Monte maderable	Monte abierto	Monte leñoso	(D) OTRAS SUPERFICIES. Total	Espartizal	Terrenos improductivos	Superficies no agrícolas	Ríos y Lagos
22	Huesca	2017	Regadío	212732,0	211771,0	170011,0	20313,0	21447,0	315,0	315,0	0,0	0,0	646,0	646,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2017	Secano	1351614,0	312268,0	222719,0	69683,0	19866,0	153694,0	14374,0	30825,0	108495,0	746474,0	423894,0	98768,0	223812,0	139178,0	0,0	69525,0	34180,0	35473,0
44	Teruel	2017	Regadío	39212,0	38779,0	20036,0	12785,0	5958,0	165,0	165,0	0,0	0,0	268,0	268,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2017	Secano	1442710,0	394089,0	191531,0	150939,0	51619,0	459413,0	0,0	261384,0	198029,0	530351,0	286291,0	183274,0	60786,0	58857,0	0,0	10893,0	35377,0	12587,0
50	Zaragoza	2017	Regadío	218098,0	217441,0	142993,0	31933,0	42515,0	0,0	0,0	0,0	0,0	657,0	657,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2017	Secano	1509588,0	589543,0	298356,0	228822,0	62365,0	437348,0	0,0	187985,0	249363,0	364951,0	231187,0	71982,0	61782,0	117746,0	0,0	24343,0	58755,0	34648,0
22	Huesca	2016	Regadío	214118,0	213781,0	177778,0	15815,0	20188,0	31,0	31,0	0,0	0,0	306,0	306,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22	Huesca	2016	Secano	1349857,0	311729,0	233114,0	60944,0	17671,0	155754,0	13796,0	30068,0	111890,0	753931,0	420718,0	105414,0	227799,0	128443,0	0,0	60219,0	34050,0	34174,0
44	Teruel	2016	Regadío	31145,0	30661,0	20463,0	4966,0	5232,0	147,0	147,0	0,0	0,0	337,0	337,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
44	Teruel	2016	Secano	1449812,0	373445,0	187111,0	141151,0	45183,0	490570,0	4092,0	262533,0	223945,0	527189,0	285544,0	180768,0	60877,0	58608,0	0,0	10724,0	35280,0	12604,0
50	Zaragoza	2016	Regadío	198254,0	197597,0	146510,0	10797,0	40290,0	0,0	0,0	0,0	0,0	657,0	657,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
50	Zaragoza	2016	Secano	1529199,0	552121,0	293708,0	197279,0	61134,0	497625,0	0,0	183484,0	314141,0	363915,0	229156,0	73149,0	61610,0	115538,0	0,0	23341,0	58095,0	34102,0
22	Huesca	2015	Regadío	212851,0	212454,0	173559,0	19342,0	19553,0	22,0	22,0	0,0	0,0	375,0	375,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
