Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
01	La Jacetania	2017	Regadío	1135,0	667,0	224,0	399,0	31,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	11,0	0,0	0,0	63,0	0,0	4,0	0,0	0,0	53,0	6,0	0,0	0,0	0,0	0,0	0,0	6,0	0,0	6,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	375,0	0,0	0,0	6,0	37,0	92,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	192,0	0,0	48,0	4,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0
01	La Jacetania	2017	Secano	17669,0	11394,0	3805,0	6478,0	599,0	105,0	0,0	0,0	0,0	0,0	31,0	0,0	0,0	0,0	376,0	0,0	0,0	971,0	0,0	21,0	0,0	0,0	461,0	489,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	584,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,0	571,0	0,0	0,0	4715,0	0,0	0,0	381,0	361,0	1934,0	0,0	466,0	3,0	0,0	0,0	0,0	0,0	1257,0	0,0	313,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0
02	Alto Gállego	2017	Regadío	562,0	113,0	27,0	60,0	3,0	8,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,0	5,0	0,0	0,0	12,0	0,0	0,0	0,0	0,0	1,0	11,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	20,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	416,0	0,0	0,0	37,0	14,0	76,0	0,0	13,0	0,0	0,0	0,0	0,0	0,0	221,0	0,0	55,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2017	Secano	5171,0	2648,0	962,0	1291,0	58,0	82,0	3,0	0,0	0,0	0,0	17,0	0,0	0,0	8,0	227,0	0,0	0,0	327,0	0,0	0,0	0,0	0,0	20,0	307,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	263,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	263,0	0,0	0,0	1931,0	0,0	0,0	102,0	75,0	604,0	0,0	326,0	5,0	0,0	0,0	0,0	0,0	655,0	0,0	164,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
03	Sobrarbe	2017	Regadío	1029,0	234,0	77,0	120,0	9,0	0,0	0,0	0,0	0,0	7,0	0,0	0,0	0,0	0,0	21,0	0,0	0,0	62,0	0,0	0,0	0,0	0,0	0,0	62,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	733,0	0,0	0,0	57,0	35,0	149,0	0,0	9,0	10,0	0,0	0,0	0,0	0,0	381,0	0,0	92,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
03	Sobrarbe	2017	Secano	8635,0	2763,0	1200,0	1340,0	71,0	0,0	0,0	0,0	0,0	0,0	10,0	0,0	0,0	0,0	142,0	0,0	0,0	353,0	0,0	0,0	0,0	0,0	3,0	350,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	0,0	36,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	33,0	0,0	0,0	5481,0	0,0	0,0	432,0	403,0	1774,0	0,0	452,0	305,0	0,0	0,0	0,0	0,0	1693,0	0,0	422,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
04	La Ribagorza	2017	Regadío	754,0	355,0	59,0	287,0	3,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	5,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	381,0	0,0	0,0	46,0	37,0	62,0	0,0	20,0	37,0	0,0	0,0	0,0	0,0	143,0	0,0	36,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0
04	La Ribagorza	2017	Secano	22348,0	13636,0	3243,0	9632,0	190,0	103,0	0,0	0,0	0,0	52,0	8,0	0,0	0,0	8,0	400,0	0,0	0,0	481,0	0,0	0,0	0,0	0,0	17,0	464,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	8,0	0,0	0,0	393,0	0,0	0,0	0,0	0,0	0,0	54,0	0,0	0,0	126,0	0,0	0,0	213,0	0,0	0,0	7824,0	0,0	0,0	584,0	696,0	1874,0	1,0	1129,0	285,0	2,0	0,0	0,0	0,0	2602,0	0,0	651,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
05	Cinco Villas	2017	Regadío	64577,0	41029,0	18242,0	14488,0	40,0	7,0	24,0	0,0	2261,0	5690,0	87,0	0,0	0,0	1,0	189,0	0,0	0,0	872,0	0,0	8,0	4,0	0,0	608,0	251,0	0,0	0,0	0,0	1,0	0,0	6,0	0,0	6,0	0,0	0,0	1366,0	0,0	0,0	0,0	1,0	0,0	843,0	22,0	0,0	0,0	0,0	2,0	498,0	0,0	0,0	19270,0	0,0	0,0	1078,0	3756,0	14392,0	6,0	8,0	13,0	0,0	0,0	0,0	0,0	14,0	0,0	3,0	2034,0	0,0	0,0	21,0	0,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	34,0	2,0	1,0	8,0	208,0	90,0	0,0	2,0	1,0	0,0	897,0	0,0	208,0	0,0	0,0	0,0	0,0	45,0	387,0	89,0	0,0	38,0	0,0	0,0	0,0
05	Cinco Villas	2017	Secano	53602,0	49333,0	20005,0	28888,0	152,0	24,0	103,0	0,0	0,0	8,0	2,0	0,0	0,0	15,0	136,0	0,0	0,0	1905,0	0,0	0,0	3,0	2,0	1202,0	684,0	0,0	0,0	0,0	14,0	0,0	0,0	0,0	0,0	0,0	0,0	340,0	0,0	0,0	0,0	0,0	0,0	44,0	0,0	0,0	1,0	0,0	13,0	282,0	0,0	0,0	2019,0	0,0	0,0	323,0	206,0	1027,0	0,0	293,0	49,0	0,0	0,0	0,0	0,0	97,0	0,0	24,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0
