Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
22	Huesca	2017	Regadío	170011,0	117497,0	15424,0	58163,0	822,0	19,0	116,0	0,0	3270,0	38135,0	439,0	11,0	2,0	265,0	831,0	0,0	0,0	3285,0	1,0	168,0	8,0	2,0	2124,0	981,0	0,0	0,0	0,0	1,0	0,0	40,0	0,0	40,0	0,0	0,0	1300,0	0,0	0,0	0,0	0,0	0,0	792,0	47,0	0,0	0,0	0,0	0,0	461,0	0,0	0,0	43199,0	0,0	0,0	4911,0	3035,0	33159,0	3,0	66,0	328,0	1,0	0,0	0,0	0,0	1363,0	0,0	333,0	4690,0	1,0	0,0	2,0	1,0	2,0	1,0	0,0	3,0	0,0	103,0	0,0	5,0	6,0	0,0	0,0	0,0	14,0	16,0	7,0	2,0	2,0	0,0	308,0	0,0	5,0	0,0	0,0	0,0	125,0	6,0	3869,0	107,0	0,0	105,0	0,0	0,0	0,0
22	Huesca	2017	Secano	222719,0	181010,0	44541,0	128186,0	2389,0	372,0	39,0	13,0	4,0	341,0	95,0	0,0	2,0	57,0	4971,0	0,0	0,0	14258,0	0,0	353,0	0,0	21,0	8177,0	5686,0	0,0	0,0	0,0	21,0	0,0	13,0	0,0	13,0	0,0	0,0	2786,0	0,0	0,0	0,0	0,0	0,0	256,0	0,0	0,0	126,0	0,0	151,0	2253,0	0,0	14,0	24619,0	0,0	0,0	2038,0	2002,0	8130,0	1,0	2829,0	1157,0	7,0	0,0	0,0	0,0	6764,0	0,0	1691,0	19,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	3,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	4,0	0,0	0,0	0,0	8,0	0,0	0,0	0,0
44	Teruel	2017	Regadío	20036,0	16593,0	2863,0	9419,0	580,0	369,0	8,0	0,0	48,0	2258,0	69,0	0,0	0,0	12,0	967,0	0,0	0,0	130,0	0,0	0,0	0,0	0,0	40,0	84,0	0,0	0,0	0,0	6,0	0,0	154,0	0,0	5,0	149,0	0,0	423,0	7,0	1,0	0,0	0,0	0,0	282,0	26,0	0,0	0,0	3,0	6,0	45,0	53,0	0,0	2638,0	0,0	19,0	79,0	68,0	1716,0	2,0	187,0	98,0	0,0	0,0	0,0	0,0	0,0	0,0	469,0	98,0	2,0	0,0	13,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	8,0	0,0	0,0	3,0	0,0	0,0	26,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	41,0	0,0	0,0	0,0
44	Teruel	2017	Secano	191531,0	169949,0	35561,0	90633,0	17265,0	7747,0	490,0	0,0	0,0	143,0	0,0	13,0	0,0	14,0	18083,0	0,0	0,0	632,0	0,0	0,0	15,0	12,0	74,0	317,0	0,0	0,0	0,0	214,0	0,0	83,0	0,0	0,0	83,0	0,0	3797,0	0,0	0,0	0,0	0,0	0,0	3569,0	1,0	0,0	43,0	12,0	116,0	49,0	7,0	0,0	17057,0	0,0	64,0	52,0	609,0	4772,0	0,0	6821,0	490,0	0,0	0,0	0,0	0,0	0,0	0,0	4249,0	13,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,0	0,0	0,0	0,0
50	Zaragoza	2017	Regadío	142993,0	87788,0	37896,0	32249,0	501,0	16,0	46,0	0,0	2261,0	14091,0	225,0	0,0	0,0	15,0	488,0	0,0	0,0	2064,0	2,0	370,0	4,0	1,0	992,0	679,0	0,0	0,0	0,0	16,0	0,0	247,0	0,0	229,0	18,0	0,0	1999,0	0,0	1,0	0,0	1,0	0,0	1183,0	35,0	0,0	0,0	0,0	46,0	733,0	0,0	3,0	44904,0	0,0	0,0	1934,0	4396,0	38136,0	6,0	56,0	55,0	0,0	0,0	0,0	0,0	258,0	0,0	63,0	5988,0	9,0	0,0	51,0	0,0	7,0	12,0	8,0	72,0	22,0	74,0	12,0	22,0	92,0	4,0	1,0	14,0	718,0	155,0	0,0	32,0	128,0	39,0	1258,0	1,0	227,0	0,0	0,0	0,0	5,0	57,0	1251,0	1026,0	0,0	691,0	0,0	0,0	0,0
50	Zaragoza	2017	Secano	298356,0	280830,0	125514,0	136911,0	9011,0	3471,0	452,0	1,0	0,0	53,0	3,0	12,0	2,0	64,0	5336,0	0,0	0,0	5005,0	0,0	11,0	152,0	19,0	2815,0	1616,0	0,0	0,0	2,0	372,0	18,0	10,0	0,0	10,0	0,0	0,0	5876,0	0,0	0,0	0,0	0,0	0,0	4960,0	0,0	0,0	1,0	0,0	233,0	681,0	1,0	0,0	6602,0	0,0	0,0	417,0	293,0	2919,0	0,0	1879,0	284,0	0,0	0,0	0,0	0,0	657,0	0,0	153,0	33,0	0,0	3,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,0	0,0	0,0	0,0
22	Huesca	2016	Regadío	177953,0	115949,0	17230,0	46336,0	417,0	28,0	125,0	0,0	3203,0	46223,0	1151,0	78,0	0,0	21,0	1137,0	0,0	0,0	3956,0	4,0	75,0	0,0	1,0	2619,0	1257,0	0,0	0,0	0,0	0,0	0,0	39,0	39,0	0,0	0,0	0,0	4003,0	0,0	0,0	0,0	1,0	0,0	3507,0	9,0	0,0	0,0	0,0	0,0	486,0	0,0	0,0	48319,0	0,0	0,0	3564,0	5102,0	35520,0	0,0	78,0	0,0	0,0	0,0	0,0	0,0	1813,0	0,0	2242,0	5687,0	0,0	0,0	2,0	0,0	1,0	2,0	51,0	2,0	0,0	0,0	1,0	3,0	11,0	0,0	0,0	0,0	31,0	16,0	7,0	1,0	3,0	1,0	329,0	0,0	3,0	0,0	0,0	0,0	105,0	4,0	4939,0	0,0	175,0	0,0	0,0	0,0	0,0
22	Huesca	2016	Secano	233137,0	182649,0	44843,0	129797,0	2018,0	414,0	34,0	0,0	7,0	429,0	291,0	5,0	3,0	0,0	4808,0	0,0	0,0	14969,0	0,0	58,0	0,0	6,0	9799,0	5056,0	0,0	0,0	0,0	50,0	0,0	10,0	10,0	0,0	0,0	0,0	2550,0	0,0	0,0	0,0	0,0	0,0	379,0	0,0	0,0	73,0	0,0	77,0	2021,0	0,0	16,0	32921,0	0,0	0,0	1744,0	640,0	7974,0	34,0	2791,0	0,0	0,0	0,0	0,0	0,0	9119,0	0,0	10619,0	22,0	0,0	0,0	2,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	6,0	1,0	0,0	0,0	7,0	0,0	0,0	0,0	0,0
44	Teruel	2016	Regadío	20486,0	17275,0	3843,0	8169,0	549,0	578,0	0,0	0,0	47,0	2869,0	123,0	0,0	0,0	0,0	1097,0	0,0	0,0	181,0	0,0	0,0	0,0	0,0	15,0	158,0	0,0	0,0	0,0	8,0	0,0	155,0	0,0	2,0	153,0	0,0	522,0	16,0	0,0	0,0	0,0	0,0	419,0	46,0	0,0	0,0	4,0	4,0	8,0	25,0	2,0	2282,0	0,0	0,0	69,0	52,0	1884,0	2,0	177,0	49,0	0,0	0,0	0,0	0,0	0,0	0,0	49,0	69,0	0,0	0,0	14,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	5,0	1,0	0,0	0,0	4,0	0,0	23,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	21,0	0,0	0,0	0,0	0,0
44	Teruel	2016	Secano	187112,0	169842,0	39642,0	80884,0	15234,0	12749,0	148,0	0,0	0,0	230,0	65,0	1,0	0,0	3,0	20886,0	0,0	0,0	1165,0	0,0	0,0	12,0	6,0	160,0	704,0	0,0	0,0	0,0	283,0	0,0	65,0	0,0	0,0	65,0	0,0	3468,0	0,0	0,0	0,0	0,0	0,0	3173,0	0,0	0,0	14,0	10,0	150,0	97,0	24,0	0,0	12567,0	0,0	1,0	25,0	102,0	5067,0	0,0	6937,0	16,0	2,0	0,0	0,0	1,0	0,0	0,0	416,0	5,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0
