Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
01	La Jacetania	2017	Regadío	3,0	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
01	La Jacetania	2017	Secano	175,0	54,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	54,0	0,0	0,0	0,0	0,0	12,0	0,0	12,0	0,0	0,0	0,0	109,0	0,0
02	Alto Gállego	2017	Regadío	24,0	24,0	18,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
02	Alto Gállego	2017	Secano	29,0	3,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	25,0	0,0
03	Sobrarbe	2017	Regadío	5,0	1,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	3,0	0,0
03	Sobrarbe	2017	Secano	392,0	145,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	140,0	4,0	0,0	0,0	0,0	30,0	1,0	29,0	0,0	159,0	159,0	58,0	0,0
04	La Ribagorza	2017	Regadío	11,0	2,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	3,0	0,0	3,0	0,0	3,0	3,0	3,0	0,0
04	La Ribagorza	2017	Secano	1417,0	439,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	1,0	418,0	9,0	4,0	0,0	6,0	191,0	0,0	191,0	0,0	379,0	379,0	408,0	0,0
05	Cinco Villas	2017	Regadío	1655,0	1207,0	29,0	12,0	0,0	1,0	3,0	4,0	0,0	0,0	0,0	10,0	1090,0	56,0	0,0	0,0	2,0	57,0	0,0	57,0	0,0	377,0	377,0	14,0	0,0
05	Cinco Villas	2017	Secano	1421,0	1040,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	13,0	1025,0	0,0	0,0	0,0	2,0	174,0	0,0	169,0	5,0	152,0	152,0	55,0	0,0
06	Hoya de Huesca / Plana de Uesca	2017	Regadío	1432,0	866,0	58,0	13,0	0,0	0,0	43,0	10,0	0,0	0,0	0,0	1,0	686,0	36,0	0,0	9,0	10,0	46,0	1,0	45,0	0,0	518,0	518,0	2,0	0,0
06	Hoya de Huesca / Plana de Uesca	2017	Secano	5962,0	4664,0	1,0	0,0	0,0	0,0	21,0	0,0	0,0	0,0	0,0	1,0	4616,0	3,0	2,0	0,0	20,0	425,0	0,0	422,0	3,0	714,0	714,0	159,0	0,0
07	Somontano de Barbastro	2017	Regadío	1645,0	213,0	2,0	43,0	0,0	1,0	27,0	1,0	7,0	0,0	0,0	0,0	106,0	9,0	0,0	12,0	5,0	1228,0	1,0	1227,0	0,0	200,0	200,0	4,0	0,0
07	Somontano de Barbastro	2017	Secano	7501,0	2604,0	0,0	0,0	0,0	0,0	2,0	3,0	2,0	0,0	0,0	1,0	2588,0	3,0	0,0	0,0	5,0	2538,0	0,0	2535,0	3,0	2305,0	2305,0	54,0	0,0
08	Cinca Medio	2017	Regadío	2930,0	2606,0	101,0	256,0	0,0	48,0	124,0	981,0	10,0	25,0	0,0	0,0	580,0	7,0	0,0	442,0	32,0	55,0	1,0	54,0	0,0	264,0	264,0	5,0	0,0
08	Cinca Medio	2017	Secano	611,0	366,0	0,0	0,0	0,0	0,0	6,0	46,0	0,0	0,0	0,0	0,0	306,0	0,0	0,0	7,0	1,0	16,0	0,0	16,0	0,0	222,0	222,0	7,0	0,0
09	La Litera / La Llitera	2017	Regadío	1714,0	1461,0	192,0	205,0	1,0	18,0	12,0	440,0	34,0	10,0	0,0	2,0	265,0	74,0	0,0	197,0	11,0	91,0	0,0	91,0	0,0	159,0	159,0	3,0	0,0
09	La Litera / La Llitera	2017	Secano	1668,0	672,0	7,0	12,0	0,0	0,0	0,0	39,0	0,0	0,0	0,0	0,0	598,0	1,0	0,0	15,0	0,0	15,0	0,0	15,0	0,0	936,0	936,0	45,0	0,0
10	Los Monegros	2017	Regadío	1284,0	1047,0	116,0	38,0	1,0	30,0	0,0	155,0	1,0	0,0	0,0	2,0	605,0	1,0	0,0	71,0	27,0	13,0	0,0	13,0	0,0	194,0	194,0	30,0	0,0
10	Los Monegros	2017	Secano	1830,0	874,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	2,0	866,0	0,0	0,0	1,0	2,0	177,0	0,0	177,0	0,0	412,0	412,0	367,0	0,0
11	Bajo Cinca / Baix Cinca	2017	Regadío	15165,0	14073,0	141,0	565,0	18,0	803,0	852,0	5221,0	74,0	14,0	0,0	21,0	1489,0	212,0	0,0	4524,0	139,0	336,0	18,0	318,0	0,0	749,0	749,0	7,0	0,0
11	Bajo Cinca / Baix Cinca	2017	Secano	3259,0	2562,0	0,0	11,0	0,0	114,0	162,0	284,0	17,0	0,0	0,0	0,0	1683,0	0,0	0,0	271,0	20,0	30,0	17,0	13,0	0,0	598,0	598,0	69,0	0,0
12	Tarazona y el Moncayo	2017	Regadío	783,0	321,0	3,0	4,0	0,0	3,0	16,0	0,0	0,0	0,0	0,0	0,0	282,0	11,0	0,0	0,0	2,0	100,0	0,0	100,0	0,0	362,0	362,0	0,0	0,0
12	Tarazona y el Moncayo	2017	Secano	792,0	557,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0	1,0	551,0	0,0	0,0	0,0	4,0	106,0	0,0	106,0	0,0	105,0	105,0	24,0	0,0
13	Campo de Borja	2017	Regadío	4655,0	1213,0	1,0	4,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	1,0	1190,0	12,0	0,0	0,0	2,0	2402,0	0,0	2399,0	3,0	1040,0	1040,0	0,0	0,0
13	Campo de Borja	2017	Secano	8505,0	4232,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	5,0	4224,0	0,0	0,0	0,0	3,0	3872,0	0,0	3872,0	0,0	358,0	358,0	43,0	0,0
14	Aranda	2017	Regadío	213,0	161,0	5,0	2,0	0,0	2,0	88,0	5,0	7,0	0,0	0,0	0,0	49,0	3,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	51,0	51,0	0,0	0,0
14	Aranda	2017	Secano	2657,0	2219,0	0,0	0,0	0,0	0,0	217,0	0,0	3,0	0,0	0,0	0,0	1999,0	0,0	0,0	0,0	0,0	164,0	0,0	164,0	0,0	256,0	256,0	18,0	0,0
15	Ribera Alta del Ebro	2017	Regadío	642,0	418,0	97,0	104,0	0,0	26,0	9,0	33,0	7,0	0,0	0,0	28,0	58,0	19,0	0,0	37,0	0,0	3,0	0,0	3,0	0,0	212,0	212,0	9,0	0,0
15	Ribera Alta del Ebro	2017	Secano	111,0	48,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	10,0	38,0	0,0	0,0	0,0	0,0	7,0	0,0	7,0	0,0	56,0	56,0	0,0	0,0
16	Valdejalón	2017	Regadío	9145,0	8023,0	1538,0	652,0	0,0	492,0	1843,0	1912,0	149,0	6,0	0,0	3,0	726,0	15,0	0,0	679,0	8,0	504,0	5,0	499,0	0,0	618,0	618,0	0,0	0,0
16	Valdejalón	2017	Secano	5840,0	3328,0	10,0	3,0	0,0	41,0	243,0	57,0	2,0	0,0	0,0	1,0	2948,0	1,0	0,0	19,0	3,0	1084,0	0,0	1084,0	0,0	1428,0	1428,0	0,0	0,0
17	D.C. Zaragoza	2017	Regadío	1662,0	1101,0	3,0	85,0	0,0	164,0	10,0	42,0	33,0	1,0	0,0	2,0	733,0	10,0	0,0	15,0	3,0	38,0	4,0	32,0	2,0	520,0	520,0	3,0	0,0
17	D.C. Zaragoza	2017	Secano	600,0	303,0	0,0	1,0	0,0	0,0	0,0	2,0	0,0	0,0	0,0	2,0	229,0	0,0	0,0	67,0	2,0	112,0	2,0	110,0	0,0	177,0	177,0	8,0	0,0
18	Ribera Baja del Ebro	2017	Regadío	2291,0	1096,0	14,0	84,0	0,0	69,0	85,0	209,0	45,0	1,0	0,0	10,0	402,0	4,0	0,0	168,0	5,0	16,0	16,0	0,0	0,0	1179,0	1179,0	0,0	0,0
18	Ribera Baja del Ebro	2017	Secano	130,0	46,0	0,0	1,0	0,0	1,0	0,0	2,0	0,0	0,0	0,0	0,0	30,0	0,0	0,0	12,0	0,0	3,0	0,0	3,0	0,0	81,0	81,0	0,0	0,0
