Municipio código	Municipio nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22001	Abiego	2017	Regadío	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	0,0	0,0	0,0	0,0
22001	Abiego	2017	Secano	334,0	229,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	228,0	0,0	0,0	0,0	1,0	31,0	0,0	31,0	0,0	71,0	71,0	3,0	0,0
22002	Abizanda	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22002	Abizanda	2017	Secano	152,0	58,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	53,0	4,0	0,0	0,0	0,0	11,0	1,0	10,0	0,0	83,0	83,0	0,0	0,0
22003	Adahuesca	2017	Regadío	15,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	15,0	0,0	15,0	0,0	0,0	0,0	0,0	0,0
22003	Adahuesca	2017	Secano	257,0	126,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	126,0	0,0	0,0	0,0	0,0	72,0	0,0	72,0	0,0	56,0	56,0	3,0	0,0
22004	Agüero	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22004	Agüero	2017	Secano	53,0	37,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	37,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	11,0	11,0	3,0	0,0
22006	Aísa	2017	Regadío											0,0														
22006	Aísa	2017	Secano											0,0														
22007	Albalate de Cinca	2017	Regadío	630,0	573,0	15,0	20,0	0,0	21,0	57,0	176,0	3,0	9,0	0,0	0,0	107,0	0,0	0,0	162,0	3,0	10,0	0,0	10,0	0,0	47,0	47,0	0,0	0,0
22007	Albalate de Cinca	2017	Secano	17,0	15,0	0,0	0,0	0,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	10,0	0,0	0,0	1,0	0,0	1,0	0,0	1,0	0,0	1,0	1,0	0,0	0,0
22008	Albalatillo	2017	Regadío	3,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	3,0	0,0	0,0
22008	Albalatillo	2017	Secano	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22009	Albelda	2017	Regadío	501,0	484,0	30,0	42,0	0,0	0,0	1,0	286,0	1,0	3,0	0,0	0,0	27,0	0,0	0,0	93,0	1,0	0,0	0,0	0,0	0,0	17,0	17,0	0,0	0,0
22009	Albelda	2017	Secano	151,0	64,0	2,0	8,0	0,0	0,0	0,0	28,0	0,0	0,0	0,0	0,0	18,0	0,0	0,0	8,0	0,0	0,0	0,0	0,0	0,0	87,0	87,0	0,0	0,0
22011	Albero Alto	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22011	Albero Alto	2017	Secano	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22012	Albero Bajo	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22012	Albero Bajo	2017	Secano	12,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	12,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22013	Alberuela de Tubo	2017	Regadío	12,0	8,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	8,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	4,0	4,0	0,0	0,0
22013	Alberuela de Tubo	2017	Secano	2,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	2,0	2,0	0,0	0,0
22014	Alcalá de Gurrea	2017	Regadío	129,0	128,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	127,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22014	Alcalá de Gurrea	2017	Secano	66,0	63,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	63,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	2,0	2,0	0,0	0,0
22015	Alcalá del Obispo	2017	Regadío	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22015	Alcalá del Obispo	2017	Secano	36,0	32,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	32,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	3,0	3,0	0,0	0,0
22016	Alcampell	2017	Regadío	37,0	31,0	5,0	3,0	0,0	0,0	0,0	7,0	2,0	0,0	0,0	0,0	10,0	0,0	0,0	4,0	0,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0
22016	Alcampell	2017	Secano	290,0	112,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	112,0	0,0	0,0	0,0	0,0	2,0	0,0	2,0	0,0	176,0	176,0	0,0	0,0
22017	Alcolea de Cinca	2017	Regadío	345,0	289,0	22,0	28,0	0,0	15,0	53,0	65,0	2,0	1,0	0,0	0,0	16,0	0,0	0,0	67,0	20,0	2,0	0,0	2,0	0,0	54,0	54,0	0,0	0,0
22017	Alcolea de Cinca	2017	Secano	22,0	13,0	0,0	0,0	0,0	0,0	6,0	1,0	0,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	9,0	9,0	0,0	0,0
22018	Alcubierre	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22018	Alcubierre	2017	Secano	71,0	19,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	19,0	0,0	0,0	0,0	0,0	29,0	0,0	29,0	0,0	23,0	23,0	0,0	0,0
22019	Alerre	2017	Regadío	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22019	Alerre	2017	Secano	10,0	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	0,0	0,0	0,0	0,0	3,0	0,0	3,0	0,0	1,0	1,0	0,0	0,0
22020	Alfántega	2017	Regadío	66,0	58,0	2,0	6,0	0,0	0,0	0,0	34,0	1,0	0,0	0,0	0,0	8,0	0,0	0,0	7,0	0,0	1,0	0,0	1,0	0,0	4,0	4,0	3,0	0,0
22020	Alfántega	2017	Secano	6,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	6,0	6,0	0,0	0,0
22021	Almudévar	2017	Regadío	76,0	22,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	20,0	0,0	0,0	0,0	2,0	1,0	0,0	1,0	0,0	53,0	53,0	0,0	0,0
22021	Almudévar	2017	Secano	577,0	367,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	367,0	0,0	0,0	0,0	0,0	74,0	0,0	74,0	0,0	105,0	105,0	31,0	0,0
22022	Almunia de San Juan	2017	Regadío	15,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	10,0	0,0	10,0	0,0	4,0	4,0	0,0	0,0
22022	Almunia de San Juan	2017	Secano	17,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	0,0	0,0	0,0	7,0	0,0	7,0	0,0	9,0	9,0	0,0	0,0
22023	Almuniente	2017	Regadío	235,0	234,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	233,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
22023	Almuniente	2017	Secano	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0
22024	Alquézar	2017	Regadío	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	0,0	1,0	0,0	0,0	0,0	0,0	0,0
22024	Alquézar	2017	Secano	225,0	91,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	1,0	89,0	1,0	0,0	0,0	0,0	4,0	0,0	4,0	0,0	123,0	123,0	7,0	0,0
22025	Altorricón	2017	Regadío	189,0	184,0	45,0	71,0	1,0	2,0	2,0	17,0	6,0	7,0	0,0	0,0	5,0	0,0	0,0	28,0	0,0	0,0	0,0	0,0	0,0	5,0	5,0	0,0	0,0
22025	Altorricón	2017	Secano	10,0	9,0	5,0	1,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	0,0	3,0	0,0	0,0	0,0	0,0	0,0	1,0	1,0	0,0	0,0
