Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
22	Huesca	2017	Regadío	21447,0	17985,0	627,0	1120,0	20,0	652,0	744,0	6437,0	107,0	49,0	0,0	26,0	2758,0	341,0	0,0	4891,0	213,0	1755,0	3,0	1752,0	0,0	1650,0	1650,0	57,0	0,0
22	Huesca	2017	Secano	19866,0	9928,0	9,0	23,0	0,0	31,0	60,0	292,0	2,0	0,0	0,0	5,0	9212,0	20,0	6,0	229,0	39,0	3347,0	1,0	3340,0	6,0	5290,0	5290,0	1301,0	0,0
44	Teruel	2017	Regadío	5958,0	3089,0	93,0	18,0	0,0	197,0	59,0	1717,0	48,0	4,0	0,0	12,0	862,0	50,0	7,0	9,0	13,0	38,0	0,0	38,0	0,0	2111,0	2111,0	720,0	0,0
44	Teruel	2017	Secano	51619,0	21239,0	2,0	0,0	0,0	10,0	118,0	58,0	5,0	0,0	0,0	48,0	20825,0	70,0	27,0	0,0	76,0	1982,0	3,0	1979,0	0,0	21971,0	21971,0	6427,0	0,0
50	Zaragoza	2017	Regadío	42515,0	26765,0	2468,0	1942,0	0,0	1504,0	4419,0	4696,0	792,0	16,0	0,0	56,0	8496,0	155,0	0,0	2164,0	57,0	8068,0	82,0	7981,0	5,0	7645,0	7645,0	37,0	0,0
50	Zaragoza	2017	Secano	62365,0	34436,0	56,0	39,0	0,0	154,0	2979,0	398,0	145,0	0,0	0,0	45,0	30281,0	14,0	0,0	273,0	52,0	20457,0	52,0	20396,0	9,0	7076,0	7076,0	396,0	0,0
22	Huesca	2016	Regadío	20188,0	16923,0	698,0	1217,0	19,0	604,0	711,0	6567,0	103,0	35,0	0,0	0,0	1697,0	225,0	0,0	4836,0	211,0	1686,0	12,0	1674,0	0,0	1567,0	1567,0	0,0	12,0
22	Huesca	2016	Secano	17671,0	8840,0	6,0	0,0	0,0	7,0	23,0	0,0	0,0	0,0	0,0	0,0	8742,0	18,0	4,0	0,0	40,0	3380,0	14,0	3366,0	0,0	5445,0	5445,0	0,0	6,0
44	Teruel	2016	Regadío	5232,0	3016,0	47,0	21,0	0,0	176,0	56,0	1729,0	50,0	3,0	0,0	0,0	862,0	50,0	13,0	9,0	0,0	38,0	0,0	38,0	0,0	2177,0	2177,0	0,0	1,0
44	Teruel	2016	Secano	45183,0	21033,0	12,0	0,0	0,0	12,0	111,0	58,0	5,0	0,0	0,0	0,0	20754,0	62,0	19,0	0,0	0,0	2002,0	1,0	2001,0	0,0	22148,0	22148,0	0,0	0,0
50	Zaragoza	2016	Regadío	40290,0	24640,0	2457,0	2063,0	0,0	1353,0	3827,0	4560,0	777,0	26,0	0,0	86,0	7131,0	100,0	0,0	2192,0	68,0	7917,0	119,0	7798,0	0,0	7559,0	7559,0	68,0	106,0
50	Zaragoza	2016	Secano	61134,0	34085,0	120,0	35,0	0,0	186,0	3210,0	413,0	159,0	0,0	0,0	15,0	29636,0	13,0	0,0	216,0	82,0	19931,0	35,0	19896,0	0,0	7096,0	7096,0	0,0	22,0
22	Huesca	2015	Regadío	19553,0	16013,0	715,0	1222,0	19,0	460,0	586,0	6334,0	73,0	31,0	0,0	0,0	1412,0	195,0	0,0	4832,0	134,0	1684,0	1,0	1683,0	0,0	1845,0	1845,0	5,0	6,0
22	Huesca	2015	Secano	17776,0	8994,0	1,0	2,0	0,0	11,0	30,0	104,0	20,0	0,0	0,0	0,0	8681,0	15,0	4,0	83,0	43,0	3489,0	5,0	3484,0	0,0	5287,0	5287,0	0,0	6,0
44	Teruel	2015	Regadío	5247,0	3059,0	45,0	16,0	0,0	171,0	59,0	1827,0	49,0	3,0	0,0	18,0	800,0	48,0	14,0	9,0	0,0	38,0	0,0	38,0	0,0	2149,0	2149,0	0,0	1,0
44	Teruel	2015	Secano	45101,0	20974,0	1,0	0,0	0,0	9,0	122,0	54,0	5,0	0,0	0,0	115,0	20601,0	50,0	17,0	0,0	0,0	2027,0	1,0	2026,0	0,0	22100,0	22100,0	0,0	0,0
50	Zaragoza	2015	Regadío	40525,0	24687,0	2501,0	2160,0	0,0	1325,0	3894,0	4725,0	794,0	13,0	0,0	0,0	6750,0	100,0	1,0	2378,0	46,0	8042,0	99,0	7943,0	0,0	7680,0	7680,0	0,0	116,0
50	Zaragoza	2015	Secano	60779,0	32526,0	66,0	34,0	0,0	104,0	2954,0	297,0	144,0	0,0	0,0	0,0	28745,0	7,0	0,0	118,0	57,0	20974,0	19,0	20955,0	0,0	7261,0	7261,0	0,0	18,0
