Provincia código	Provincia nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22	Huesca	2008	220107,0	176265,0	133031,0	43234,0	776,0	1759,0	130496,0	75,4721583978668
22	Huesca	2011	228566,0	175713,0	122687,0	53026,0	2117,0	2890,0	117680,0	69,8223808141685
22	Huesca	2015	224909,0	167329,0	122733,0	44596,0	1150,0	1249,0	120334,0	73,348313800955
22	Huesca	2016	222909,0	166659,0	117306,0	49353,0	1132,0	1123,0	115051,0	70,3868377945385
22	Huesca	2019	219345,0	172722,0	114791,0	57931,0	1194,0	1363,0	112234,0	66,4599761466403
44	Teruel	2008	144046,0	114212,0	87453,0	26759,0	667,0	944,0	85842,0	76,5707631422267
44	Teruel	2011	145277,0	112301,0	78929,0	33372,0	1700,0	1694,0	75535,0	70,283434697821
44	Teruel	2015	140365,0	105452,0	78500,0	26952,0	1079,0	883,0	76538,0	74,4414520350491
44	Teruel	2016	138932,0	104809,0	75605,0	29204,0	1009,0	704,0	73892,0	72,1359806886813
44	Teruel	2019	134572,0	107467,0	74661,0	32806,0	531,0	403,0	73727,0	69,4734197474573
50	Zaragoza	2008	932502,0	725943,0	551149,0	174794,0	2710,0	6917,0	541522,0	75,9218010229453
50	Zaragoza	2011	973252,0	730496,0	521455,0	209041,0	7562,0	9951,0	503942,0	71,3836899859821
50	Zaragoza	2015	960111,0	714366,0	536253,0	178113,0	3892,0	4641,0	527720,0	75,0669824711702
50	Zaragoza	2016	956006,0	712841,0	514663,0	198178,0	3963,0	4105,0	506595,0	72,1988493927818
50	Zaragoza	2019	954811,0	739573,0	517639,0	221934,0	4355,0	4989,0	508295,0	69,9916032629639
