CCAA nombre	CCAA código	Año	Votos	Siglas	Diputados	Candidatura
Aragón	02	2008	356050,0	PSOE	8,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2008	284068,0	PP	5,0	PARTIDO POPULAR
Aragón	02	2008	40054,0	PAR	0,0	PARTIDO ARAGONES
Aragón	02	2008	38202,0	CHA	0,0	CHUNTA ARAGONESISTA
Aragón	02	2008	21816,0	IU	0,0	IZQUIERDA UNIDA-ALTERNATIVA
Aragón	02	2008	8728,0	UPyD	0,0	UNION PROGRESO Y DEMOCRACIA
Aragón	02	2008	2489,0	LV	0,0	LOS VERDES-GRUPO VERDE
Aragón	02	2008	1230,0	PACMA	0,0	PARTIDO ANTITAURINO CONTRA EL MALTRATO ANIMAL
Aragón	02	2008	997,0	C's	0,0	CIUDADANOS-PARTIDO DE LA CIUDADANIA
Aragón	02	2008	545,0	Cenb	0,0	CIUDADANOS EN BLANCO
Aragón	02	2008	497,0	PUM+J	0,0	POR UN MUNDO MAS JUSTO
Aragón	02	2008	475,0	pCUA	0,0	PARTIDO CIUDADANOS UNIDOS DE ARAGON
Aragón	02	2008	433,0	DN	0,0	DEMOCRACIA NACIONAL
Aragón	02	2008	395,0	PSD-FIA	0,0	PARTIDO SOCIAL DEMOCRATA-FEDERACION DE LOS INDEPENDIENTES DE ARAGON
Aragón	02	2008	352,0	FE de las JONS	0,0	FALANGE ESPAÑOLA DE LAS JONS
Aragón	02	2008	330,0	PFyV	0,0	PARTIDO FAMILIA Y VIDA
Aragón	02	2008	314,0	PCPE	0,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2008	244,0	AuN	0,0	ALIANZA NACIONAL
Aragón	02	2008	190,0	FA	0,0	FALANGE AUTENTICA
Aragón	02	2008	121,0	PH	0,0	PARTIDO HUMANISTA
Aragón	02	2008	118,0	AES	0,0	ALTERNATIVA ESPAÑOLA
Aragón	02	2008	113,0	FRENTE	0,0	FRENTE ESPAÑOL
Aragón	02	2008	89,0	E-2000	0,0	ESPAÑA 2000
Aragón	02	2008	10,0	PCTR	0,0	PARTIDO CENTRISTA
Aragón	02	2011	339502,0	PP-PAR	8,0	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2011	224314,0	PSOE	4,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2011	74944,0	CHA-IU	1,0	CHUNTA ARAGONESISTA-IZQUIERDA UNIDA, LA IZQUIERDA DE ARAGÓN: LA IZQUIERDA PLURAL
Aragón	02	2011	41032,0	UPyD	0,0	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2011	5329,0	EQUO	0,0	EQUO
Aragón	02	2011	3404,0	PACMA	0,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2011	3106,0	Eb	0,0	ESCAÑOS EN BLANCO
Aragón	02	2011	1409,0	PCPE	0,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2011	1376,0	PUM+J	0,0	POR UN MUNDO MÁS JUSTO
Aragón	02	2011	621,0	PIRATA	0,0	PARTIDO PIRATA
Aragón	02	2011	570,0	UCE	0,0	UNIFICACIÓN COMUNISTA DE ESPAÑA
Aragón	02	2011	508,0	DeC	0,0	DEMOS EL CAMBIO
Aragón	02	2011	463,0	PH	0,0	PARTIDO HUMANISTA
Aragón	02	2011	410,0	P-LIB	0,0	PARTIDO DE LA LIBERTAD INDIVIDUAL
Aragón	02	2011	169,0	SXT	0,0	SOCIALISTAS POR TERUEL
Aragón	02	2015	229196,0	PP-PAR	6,0	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS
Aragón	02	2015	168635,0	PSOE	4,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2015	113995,0	PODEMOS	1,0	PODEMOS
Aragón	02	2015	21768,0	PODEMOS-Ahora Alto Aragón en Común	1,0	PODEMOS-Ahora Alto Aragón en Común
Aragón	02	2015	125903,0	C's	1,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2015	45046,0	IU-CHA-UPeC	0,0	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN
Aragón	02	2015	5791,0	UPYD	0,0	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2015	5202,0	PACMA	0,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2015	3851,0	EB	0,0	ESCAÑOS EN BLANCO
Aragón	02	2015	1839,0	VOX	0,0	VOX
Aragón	02	2015	1462,0	RECORTES CERO-GRUPO VERDE	0,0	RECORTES CERO-GRUPO VERDE
Aragón	02	2015	1231,0	PCPE	0,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2015	673,0	Independientes-FIA	0,0	INDEPENDIENTES POR ARAGÓN
Aragón	02	2016	251743,0	PP-PAR	6,0	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2016	174353,0	PSOE	4,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2016	22251,0	PODEMOS-IU-EQUO	1,0	UNIDOS PODEMOS EN ALTO ARAGÓN
Aragón	02	2016	115800,0	PODEMOS-IU-EQUO	1,0	UNIDOS PODEMOS EN ARAGÓN
Aragón	02	2016	113610,0	C's	1,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2016	6339,0	PACMA	0,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2016	3877,0	EB	0,0	ESCAÑOS EN BLANCO
Aragón	02	2016	1924,0	VOX	0,0	VOX
Aragón	02	2016	1611,0	UPyD	0,0	UNIÓN PROGRESO Y DEMOCRACIA
Aragón	02	2016	1497,0	RECORTES CERO-GRUPO VERDE	0,0	RECORTES CERO-GRUPO VERDE
Aragón	02	2016	788,0	PCPE	0,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
