Comarca código	Comarca nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
01	La Jacetania	2007	18166,0	15268,0	9764,0	5504,0	104,0	233,0	9427,0	63,9507466596804
01	La Jacetania	2011	18664,0	14707,0	10112,0	4595,0	183,0	294,0	9635,0	68,7563745155368
01	La Jacetania	2015	18235,0	14570,0	9692,0	4878,0	224,0	321,0	9147,0	66,5202470830474
02	Alto Gállego	2007	13457,0	11049,0	7467,0	3582,0	62,0	163,0	7242,0	67,5807765408634
02	Alto Gállego	2011	14921,0	10856,0	7476,0	3380,0	112,0	220,0	7144,0	68,8651436993368
02	Alto Gállego	2015	14139,0	10589,0	7169,0	3420,0	152,0	176,0	6841,0	67,7023326093115
03	Sobrarbe	2007	7293,0	6640,0	5200,0	1440,0	42,0	97,0	5061,0	78,3132530120482
03	Sobrarbe	2011	7718,0	6123,0	5073,0	1050,0	74,0	132,0	4867,0	82,8515433610975
03	Sobrarbe	2015	7633,0	6036,0	4685,0	1351,0	117,0	148,0	4420,0	77,6176275679258
04	La Ribagorza	2007	12811,0	10998,0	8068,0	2930,0	113,0	197,0	7758,0	73,3587925077287
04	La Ribagorza	2011	13473,0	10300,0	7830,0	2470,0	111,0	169,0	7550,0	76,0194174757281
04	La Ribagorza	2015	12624,0	9695,0	7157,0	2538,0	173,0	228,0	6756,0	73,821557503868
05	Cinco Villas	2007	33154,0	26707,0	18453,0	8254,0	242,0	461,0	17750,0	69,0942449545063
05	Cinco Villas	2011	33331,0	25354,0	18206,0	7148,0	296,0	505,0	17405,0	71,8072099077069
05	Cinco Villas	2015	31442,0	24460,0	16995,0	7465,0	273,0	463,0	16259,0	69,4807849550286
06	Hoya de Huesca / Plana de Uesca	2007	64531,0	52304,0	34007,0	18297,0	288,0	893,0	32826,0	65,017971856837
06	Hoya de Huesca / Plana de Uesca	2011	68428,0	51815,0	35036,0	16779,0	618,0	1129,0	33289,0	67,6174852841841
06	Hoya de Huesca / Plana de Uesca	2015	68286,0	52037,0	34646,0	17391,0	599,0	950,0	33097,0	66,5795491669389
07	Somontano de Barbastro	2007	23464,0	19276,0	13944,0	5332,0	126,0	263,0	13555,0	72,3386594729197
07	Somontano de Barbastro	2011	24410,0	18818,0	13778,0	5040,0	193,0	318,0	13267,0	73,2171325326815
07	Somontano de Barbastro	2015	24086,0	18684,0	13113,0	5571,0	190,0	311,0	12612,0	70,1830443159923
08	Cinca Medio	2007	23072,0	18000,0	12903,0	5097,0	121,0	242,0	12540,0	71,6833333333333
08	Cinca Medio	2011	24051,0	17631,0	12537,0	5094,0	182,0	326,0	12029,0	71,107708014293
08	Cinca Medio	2015	24019,0	17446,0	11949,0	5497,0	195,0	211,0	11543,0	68,4913447208529
09	La Litera / La Llitera	2007	18847,0	15221,0	10378,0	4843,0	123,0	279,0	9976,0	68,1821168122988
09	La Litera / La Llitera	2011	19161,0	14558,0	10325,0	4233,0	150,0	282,0	9893,0	70,923203736777
09	La Litera / La Llitera	2015	18696,0	14174,0	9534,0	4640,0	223,0	238,0	9073,0	67,2640045153097
