Municipio código	Municipio nombre	Año	Población	Censo electoral	Participación	Abstención	Votos nulos	Votos blancos	Votos a candidaturas	% Participación
22001	Abiego	2007	288,0	274,0	222,0	52,0	0,0	2,0	220,0	81,021897810219
22001	Abiego	2011	281,0	240,0	199,0	41,0	4,0	8,0	187,0	82,9166666666667
22001	Abiego	2015	267,0	229,0	185,0	44,0	0,0	7,0	178,0	80,7860262008734
22002	Abizanda	2007	136,0	121,0	103,0	18,0	0,0	2,0	101,0	85,1239669421488
22002	Abizanda	2011	132,0	110,0	94,0	16,0	0,0	1,0	93,0	85,4545454545454
22002	Abizanda	2015	140,0	117,0	111,0	6,0	0,0	0,0	111,0	94,8717948717949
22003	Adahuesca	2007	169,0	114,0	110,0	4,0	5,0	0,0	105,0	96,4912280701754
22003	Adahuesca	2011	166,0	151,0	125,0	26,0	1,0	2,0	122,0	82,7814569536424
22003	Adahuesca	2015	172,0	148,0	125,0	23,0	1,0	0,0	124,0	84,4594594594594
22004	Agüero	2007	166,0	159,0	113,0	46,0	1,0	0,0	112,0	71,0691823899371
22004	Agüero	2011	164,0	148,0	117,0	31,0	2,0	3,0	112,0	79,0540540540541
22004	Agüero	2015	150,0	138,0	103,0	35,0	0,0	4,0	99,0	74,6376811594203
22006	Aísa	2007	415,0	357,0	245,0	112,0	9,0	4,0	232,0	68,6274509803921
22006	Aísa	2011	362,0	329,0	224,0	105,0	6,0	8,0	210,0	68,0851063829787
22006	Aísa	2015	363,0	307,0	215,0	92,0	15,0	13,0	187,0	70,0325732899023
22007	Albalate de Cinca	2007	1153,0	934,0	719,0	215,0	8,0	13,0	698,0	76,9807280513919
22007	Albalate de Cinca	2011	1237,0	920,0	753,0	167,0	11,0	19,0	723,0	81,8478260869565
22007	Albalate de Cinca	2015	1201,0	850,0	646,0	204,0	13,0	13,0	620,0	76,0
22008	Albalatillo	2007	255,0	227,0	197,0	30,0	0,0	8,0	189,0	86,784140969163
22008	Albalatillo	2011	243,0	207,0	207,0	0,0	3,0	9,0	195,0	100,0
22008	Albalatillo	2015	207,0	180,0	146,0	34,0	10,0	4,0	132,0	81,1111111111111
22009	Albelda	2007	892,0	801,0	602,0	199,0	4,0	27,0	571,0	75,1560549313358
22009	Albelda	2011	847,0	720,0	534,0	186,0	13,0	18,0	503,0	74,1666666666667
22009	Albelda	2015	762,0	645,0	488,0	157,0	10,0	9,0	469,0	75,6589147286822
22011	Albero Alto	2007	125,0	100,0	73,0	27,0	0,0	8,0	65,0	73,0
22011	Albero Alto	2011	132,0	102,0	84,0	18,0	3,0	4,0	77,0	82,3529411764706
22011	Albero Alto	2015	125,0	94,0	74,0	20,0	0,0	8,0	66,0	78,7234042553191
22012	Albero Bajo	2007	111,0	98,0	81,0	17,0	0,0	3,0	78,0	82,6530612244898
22012	Albero Bajo	2011	96,0	97,0	74,0	23,0	0,0	1,0	73,0	76,2886597938144
22012	Albero Bajo	2015	122,0	109,0	89,0	20,0	3,0	1,0	85,0	81,651376146789
22013	Alberuela de Tubo	2007	357,0	323,0	291,0	32,0	8,0	4,0	279,0	90,0928792569659
22013	Alberuela de Tubo	2011	355,0	315,0	289,0	26,0	6,0	6,0	277,0	91,7460317460318
22013	Alberuela de Tubo	2015	327,0	295,0	266,0	29,0	6,0	4,0	256,0	90,1694915254237
22014	Alcalá de Gurrea	2007	282,0	277,0	223,0	54,0	2,0	6,0	215,0	80,5054151624549
22014	Alcalá de Gurrea	2011	278,0	266,0	213,0	53,0	3,0	1,0	209,0	80,0751879699248
22014	Alcalá de Gurrea	2015	277,0	254,0	215,0	39,0	2,0	2,0	211,0	84,6456692913386
22015	Alcalá del Obispo	2007	348,0	341,0	295,0	46,0	2,0	5,0	288,0	86,5102639296188
22015	Alcalá del Obispo	2011	491,0	331,0	270,0	61,0	3,0	14,0	253,0	81,570996978852
22015	Alcalá del Obispo	2015	349,0	322,0	239,0	83,0	7,0	4,0	228,0	74,223602484472
22016	Alcampell	2007	827,0	745,0	575,0	170,0	9,0	12,0	554,0	77,1812080536913
22016	Alcampell	2011	782,0	664,0	535,0	129,0	8,0	7,0	520,0	80,5722891566265
22016	Alcampell	2015	707,0	626,0	483,0	143,0	14,0	4,0	465,0	77,1565495207668
22017	Alcolea de Cinca	2007	1183,0	967,0	817,0	150,0	9,0	12,0	796,0	84,488107549121
22017	Alcolea de Cinca	2011	1164,0	915,0	743,0	172,0	9,0	20,0	714,0	81,2021857923497
22017	Alcolea de Cinca	2015	1136,0	875,0	674,0	201,0	21,0	15,0	638,0	77,0285714285714
22018	Alcubierre	2007	441,0	406,0	338,0	68,0	0,0	4,0	334,0	83,2512315270936
22018	Alcubierre	2011	433,0	375,0	330,0	45,0	5,0	5,0	320,0	88,0
22018	Alcubierre	2015	401,0	349,0	277,0	72,0	8,0	7,0	262,0	79,3696275071633
22019	Alerre	2007	228,0	198,0	158,0	40,0	5,0	4,0	149,0	79,7979797979798
22019	Alerre	2011	223,0	197,0	166,0	31,0	4,0	9,0	153,0	84,2639593908629
22019	Alerre	2015	213,0	188,0	155,0	33,0	2,0	12,0	141,0	82,4468085106383
22020	Alfántega	2007	112,0	95,0	95,0	0,0	0,0	0,0	95,0	100,0
22020	Alfántega	2011	125,0	110,0	81,0	29,0	9,0	2,0	70,0	73,6363636363636
22020	Alfántega	2015	136,0	111,0	93,0	18,0	4,0	1,0	88,0	83,7837837837838
22021	Almudévar	2007	2381,0	2053,0	1509,0	544,0	12,0	28,0	1469,0	73,5021919142718
22021	Almudévar	2011	2554,0	2096,0	1511,0	585,0	32,0	51,0	1428,0	72,0896946564885
22021	Almudévar	2015	2519,0	2009,0	1415,0	594,0	33,0	45,0	1337,0	70,4330512692882
22022	Almunia de San Juan	2007	650,0	589,0	481,0	108,0	0,0	10,0	471,0	81,6638370118846
22022	Almunia de San Juan	2011	664,0	575,0	495,0	80,0	8,0	17,0	470,0	86,0869565217391
22022	Almunia de San Juan	2015	681,0	560,0	428,0	132,0	12,0	28,0	388,0	76,4285714285714
22023	Almuniente	2007	559,0	509,0	415,0	94,0	3,0	5,0	407,0	81,5324165029469
22023	Almuniente	2011	559,0	480,0	408,0	72,0	6,0	11,0	391,0	85,0
22023	Almuniente	2015	528,0	446,0	401,0	45,0	1,0	5,0	395,0	89,9103139013453
22024	Alquézar	2007	313,0	296,0	206,0	90,0	3,0	4,0	199,0	69,5945945945946
22024	Alquézar	2011	313,0	252,0	186,0	66,0	7,0	9,0	170,0	73,8095238095238
22024	Alquézar	2015	297,0	247,0	187,0	60,0	13,0	25,0	149,0	75,7085020242915
22025	Altorricón	2007	1469,0	1177,0	873,0	304,0	8,0	21,0	844,0	74,1716227697536
22025	Altorricón	2011	1506,0	1113,0	832,0	281,0	7,0	35,0	790,0	74,7529200359389
22025	Altorricón	2015	1477,0	1084,0	785,0	299,0	12,0	16,0	757,0	72,4169741697417
22027	Angüés	2007	423,0	370,0	281,0	89,0	14,0	0,0	267,0	75,9459459459459
22027	Angüés	2011	429,0	359,0	224,0	135,0	33,0	37,0	154,0	62,3955431754875
22027	Angüés	2015	404,0	327,0	187,0	140,0	9,0	30,0	148,0	57,1865443425076
