CCAA código	CCAA nombre	Año	Siglas	Votos
02	Aragón	2015	PP	127702,0
02	Aragón	2015	PSOE	108029,0
02	Aragón	2015	ZGZ	80040,0
02	Aragón	2015	PSOE	67611,0
02	Aragón	2015	PP	59153,0
02	Aragón	2015	PAR	58143,0
02	Aragón	2015	C's	52904,0
02	Aragón	2015	CHA	39705,0
02	Aragón	2015	ARAGONSIPUEDE	6026,0
02	Aragón	2015	EB	5427,0
02	Aragón	2015	UPyD	5158,0
02	Aragón	2015	COMPROMISO CON ARAGON	4665,0
02	Aragón	2015	PACMA	3840,0
02	Aragón	2015	CAMBIAR	3336,0
02	Aragón	2015	G:IU-LV	2491,0
02	Aragón	2015	LV-GV	1818,0
02	Aragón	2015	IU-ZGZ	1816,0
02	Aragón	2015	PSOE	1574,0
02	Aragón	2015	G:IU-LV	1335,0
02	Aragón	2015	PAR	1306,0
02	Aragón	2015	CAMBIAR	1244,0
02	Aragón	2015	CHA	1212,0
02	Aragón	2015	EPC-ZGZ	1207,0
02	Aragón	2015	CHA	1202,0
02	Aragón	2015	G:IU-LV	1183,0
02	Aragón	2015	ZGZ	1106,0
02	Aragón	2015	CAMBIAR	924,0
02	Aragón	2015	P.C.P.E.	899,0
02	Aragón	2015	IU-ZGZ	832,0
02	Aragón	2015	FIA	756,0
02	Aragón	2015	CAMBIAR	748,0
02	Aragón	2015	M.S.R.	629,0
02	Aragón	2015	CAMBIAR	605,0
02	Aragón	2015	CAMBIAR	601,0
02	Aragón	2015	SZ - ZGZ	595,0
02	Aragón	2015	BAR	552,0
02	Aragón	2015	POR MALLEN	551,0
02	Aragón	2015	G:IU-LV	527,0
02	Aragón	2015	SOMOS EPILA	482,0
02	Aragón	2015	CCA-ZGZ	479,0
02	Aragón	2015	E.A.	454,0
02	Aragón	2015	CXF	446,0
02	Aragón	2015	FIA-PILL	442,0
02	Aragón	2015	FIA	430,0
02	Aragón	2015	G:IU-LV	396,0
02	Aragón	2015	UNIÓN UTEBO	350,0
02	Aragón	2015	C.P.Btro	327,0
02	Aragón	2015	IU-ZGZ	307,0
02	Aragón	2015	Asamblea Abierta	303,0
02	Aragón	2015	CAMBIAR	284,0
02	Aragón	2015	G:IU-LV	277,0
02	Aragón	2015	CALATAYUD PLURAL - ZGZ	276,0
02	Aragón	2015	G:IU-LV	272,0
02	Aragón	2015	ZGZ	242,0
02	Aragón	2015	GLM-ZGZ	214,0
02	Aragón	2015	ZGZ	213,0
02	Aragón	2015	G:IU-LV	204,0
02	Aragón	2015	G.B.A.	200,0
02	Aragón	2015	A.V.P.	184,0
02	Aragón	2015	CAMBIAR	173,0
02	Aragón	2015	GA-ZGZ	172,0
02	Aragón	2015	IP ATECA - ZGZ	156,0
02	Aragón	2015	A.E.G.	148,0
02	Aragón	2015	C.S.I.E	148,0
02	Aragón	2015	CAMBIAR	143,0
02	Aragón	2015	I.P.H.	133,0
02	Aragón	2015	A.I.E.V.I.	129,0
02	Aragón	2015	CAMBIAR	124,0
02	Aragón	2015	CAMBIAR	115,0
02	Aragón	2015	CAMBIAR	107,0
02	Aragón	2015	CAMBIAR	104,0
02	Aragón	2015	IU	97,0
02	Aragón	2015	AeF	91,0
02	Aragón	2015	G:IU-LV	90,0
02	Aragón	2015	G:IU-LV	90,0
02	Aragón	2015	CAMBIAR	76,0
02	Aragón	2015	AGRUPACION DE ELECTORES TODOS CERVERA	68,0
02	Aragón	2015	AE MURILLO DE GALLEGO	63,0
