Comarca código	Comarca nombre	Año	Orden	Siglas	Votos
01	La Jacetania	2007	1	PSOE	4214,0
01	La Jacetania	2007	2	PP	2092,0
01	La Jacetania	2007	3	PAR	1822,0
01	La Jacetania	2007	4	CHA	1111,0
01	La Jacetania	2007	5	IU	20,0
01	La Jacetania	2007	9	CDL	190,0
01	La Jacetania	2007	28	LV	74,0
01	La Jacetania	2007	34	AESCSB	48,0
01	La Jacetania	2011	1	PP	3130,0
01	La Jacetania	2011	2	PSOE	3487,0
01	La Jacetania	2011	3	PAR	1530,0
01	La Jacetania	2011	4	CHA	996,0
01	La Jacetania	2011	5	IU	305,0
01	La Jacetania	2011	9	ECOLO	48,0
01	La Jacetania	2011	11	PACMA	56,0
01	La Jacetania	2011	12	CDL	86,0
01	La Jacetania	2011	36	PYLN	29,0
01	La Jacetania	2015	1	PP	50,0
01	La Jacetania	2015	2	PSOE	42,0
01	La Jacetania	2015	4	C's	300,0
01	La Jacetania	2015	5	PAR	1005,0
01	La Jacetania	2015	6	PSOE	3639,0
01	La Jacetania	2015	7	CHA	227,0
01	La Jacetania	2015	8	PP	2090,0
01	La Jacetania	2015	13	ARAGONSIPUEDE	343,0
01	La Jacetania	2015	21	PAR	46,0
01	La Jacetania	2015	24	CHA	807,0
01	La Jacetania	2015	35	CAMBIAR	605,0
01	La Jacetania	2015	91	CAMBIAR ARTIEDA-PUYALÓN DE CUCHAS	15,0
02	Alto Gállego	2007	1	PSOE	2759,0
02	Alto Gállego	2007	2	PP	1300,0
02	Alto Gállego	2007	3	PAR	1695,0
02	Alto Gállego	2007	4	CHA	696,0
02	Alto Gállego	2007	5	IU	796,0
02	Alto Gállego	2011	1	PP	1652,0
02	Alto Gállego	2011	2	PSOE	2464,0
02	Alto Gállego	2011	3	PAR	2025,0
02	Alto Gállego	2011	4	CHA	571,0
02	Alto Gállego	2011	5	IU	426,0
02	Alto Gállego	2015	4	C's	89,0
02	Alto Gállego	2015	5	PAR	1986,0
02	Alto Gállego	2015	6	PSOE	2325,0
02	Alto Gállego	2015	7	CHA	32,0
02	Alto Gállego	2015	8	PP	1323,0
02	Alto Gállego	2015	24	CHA	341,0
02	Alto Gállego	2015	34	CAMBIAR	748,0
03	Sobrarbe	2007	1	PSOE	2372,0
03	Sobrarbe	2007	2	PP	1422,0
03	Sobrarbe	2007	3	PAR	618,0
03	Sobrarbe	2007	4	CHA	830,0
03	Sobrarbe	2007	41	FV	15,0
03	Sobrarbe	2011	1	PP	1336,0
03	Sobrarbe	2011	2	PSOE	2206,0
03	Sobrarbe	2011	3	PAR	815,0
03	Sobrarbe	2011	4	CHA	563,0
03	Sobrarbe	2011	5	IU	132,0
03	Sobrarbe	2015	5	PAR	672,0
03	Sobrarbe	2015	6	PSOE	2073,0
03	Sobrarbe	2015	7	CHA	402,0
03	Sobrarbe	2015	8	PP	1015,0
03	Sobrarbe	2015	60	CAMBIAR	173,0
03	Sobrarbe	2015	73	AeF	91,0
03	Sobrarbe	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53,0
04	La Ribagorza	2007	1	PSOE	3408,0
04	La Ribagorza	2007	2	PP	1904,0
04	La Ribagorza	2007	3	PAR	1754,0
04	La Ribagorza	2007	4	CHA	609,0
04	La Ribagorza	2007	5	IU	100,0
04	La Ribagorza	2007	13	LV-GV	15,0
04	La Ribagorza	2007	32	AE	51,0
04	La Ribagorza	2011	1	PP	2172,0
04	La Ribagorza	2011	2	PSOE	2709,0
04	La Ribagorza	2011	3	PAR	2080,0
04	La Ribagorza	2011	4	CHA	367,0
04	La Ribagorza	2011	5	IU	145,0
04	La Ribagorza	2011	20	CDF	76,0
04	La Ribagorza	2011	28	AELEF	63,0
04	La Ribagorza	2011	33	CCD	40,0
04	La Ribagorza	2015	4	C's	102,0
04	La Ribagorza	2015	5	PAR	1760,0
04	La Ribagorza	2015	6	PSOE	2186,0
04	La Ribagorza	2015	7	CHA	103,0
04	La Ribagorza	2015	8	PP	2188,0
04	La Ribagorza	2015	13	ARAGONSIPUEDE	439,0
04	La Ribagorza	2015	70	CAMBIAR	107,0
05	Cinco Villas	2007	1	PSOE	8224,0
05	Cinco Villas	2007	2	PP	4404,0
05	Cinco Villas	2007	3	PAR	3153,0
05	Cinco Villas	2007	4	CHA	781,0
05	Cinco Villas	2007	5	IU	1093,0
05	Cinco Villas	2007	6	LV-FIA	159,0
05	Cinco Villas	2007	35	AIL	42,0
05	Cinco Villas	2011	1	PP	5903,0
05	Cinco Villas	2011	2	PSOE	7481,0
05	Cinco Villas	2011	3	PAR	2175,0
05	Cinco Villas	2011	4	CHA	827,0
05	Cinco Villas	2011	5	IU	1215,0
05	Cinco Villas	2011	15	TA	1,0
05	Cinco Villas	2011	25	AISOS	73,0
05	Cinco Villas	2015	1	PP	4619,0
05	Cinco Villas	2015	2	PSOE	6012,0
05	Cinco Villas	2015	7	CHA	943,0
05	Cinco Villas	2015	8	PP	513,0
05	Cinco Villas	2015	12	COMPROMISO CON ARAGON	116,0
05	Cinco Villas	2015	17	IU-ZGZ	289,0
05	Cinco Villas	2015	19	PSOE	1376,0
05	Cinco Villas	2015	21	PAR	1163,0
05	Cinco Villas	2015	25	EPC-ZGZ	1207,0
05	Cinco Villas	2015	44	FIA	0,0
05	Cinco Villas	2015	81	AE EL FRAGO	50,0
05	Cinco Villas	2015	87	UCIN	26,0
05	Cinco Villas	2015	89	GANAR-ZRZ	22,0
06	Hoya de Huesca / Plana de Uesca	2007	1	PSOE	12905,0
