Municipio código	Municipio nombre	Año	Orden	Siglas	Votos
22001	Abiego	2007	1	PSOE	72,0
22001	Abiego	2007	2	PP	148,0
22001	Abiego	2011	1	PP	132,0
22001	Abiego	2011	2	PSOE	55,0
22001	Abiego	2015	5	PAR	0,0
22001	Abiego	2015	6	PSOE	126,0
22001	Abiego	2015	8	PP	52,0
22002	Abizanda	2007	1	PSOE	68,0
22002	Abizanda	2007	2	PP	30,0
22002	Abizanda	2007	4	CHA	1,0
22002	Abizanda	2011	1	PP	40,0
22002	Abizanda	2011	2	PSOE	53,0
22002	Abizanda	2011	3	PAR	1,0
22002	Abizanda	2015	6	PSOE	53,0
22002	Abizanda	2015	7	CHA	0,0
22002	Abizanda	2015	8	PP	55,0
22003	Adahuesca	2007	1	PSOE	57,0
22003	Adahuesca	2007	2	PP	27,0
22003	Adahuesca	2007	3	PAR	34,0
22003	Adahuesca	2007	4	CHA	30,0
22003	Adahuesca	2011	1	PP	61,0
22003	Adahuesca	2011	2	PSOE	54,0
22003	Adahuesca	2011	3	PAR	59,0
22003	Adahuesca	2011	9	ECOLO	34,0
22003	Adahuesca	2015	4	C's	23,0
22003	Adahuesca	2015	5	PAR	64,0
22003	Adahuesca	2015	6	PSOE	40,0
22003	Adahuesca	2015	8	PP	60,0
22003	Adahuesca	2015	13	ARAGONSIPUEDE	34,0
22004	Agüero	2007	1	PSOE	25,0
22004	Agüero	2007	2	PP	51,0
22004	Agüero	2007	3	PAR	41,0
22004	Agüero	2007	4	CHA	3,0
22004	Agüero	2011	1	PP	51,0
22004	Agüero	2011	2	PSOE	25,0
22004	Agüero	2011	3	PAR	38,0
22004	Agüero	2015	5	PAR	25,0
22004	Agüero	2015	6	PSOE	35,0
22004	Agüero	2015	8	PP	58,0
22006	Aísa	2007	1	PSOE	159,0
22006	Aísa	2007	2	PP	35,0
22006	Aísa	2007	3	PAR	38,0
22006	Aísa	2011	1	PP	63,0
22006	Aísa	2011	2	PSOE	115,0
22006	Aísa	2011	3	PAR	32,0
22006	Aísa	2015	5	PAR	23,0
22006	Aísa	2015	6	PSOE	115,0
22006	Aísa	2015	8	PP	49,0
22007	Albalate de Cinca	2007	1	PSOE	274,0
22007	Albalate de Cinca	2007	2	PP	285,0
22007	Albalate de Cinca	2007	3	PAR	139,0
22007	Albalate de Cinca	2011	1	PP	314,0
22007	Albalate de Cinca	2011	2	PSOE	242,0
22007	Albalate de Cinca	2011	3	PAR	167,0
22007	Albalate de Cinca	2015	5	PAR	110,0
22007	Albalate de Cinca	2015	6	PSOE	187,0
22007	Albalate de Cinca	2015	8	PP	323,0
22008	Albalatillo	2007	1	PSOE	54,0
22008	Albalatillo	2007	3	PAR	135,0
22008	Albalatillo	2011	1	PP	20,0
22008	Albalatillo	2011	2	PSOE	43,0
22008	Albalatillo	2011	3	PAR	122,0
22008	Albalatillo	2015	5	PAR	87,0
22008	Albalatillo	2015	6	PSOE	37,0
22008	Albalatillo	2015	8	PP	13,0
22009	Albelda	2007	1	PSOE	376,0
22009	Albelda	2007	2	PP	4,0
22009	Albelda	2007	3	PAR	128,0
22009	Albelda	2007	4	CHA	63,0
22009	Albelda	2011	1	PP	144,0
22009	Albelda	2011	2	PSOE	233,0
22009	Albelda	2011	3	PAR	53,0
22009	Albelda	2011	4	CHA	73,0
22009	Albelda	2015	6	PSOE	197,0
22009	Albelda	2015	8	PP	105,0
22009	Albelda	2015	24	CHA	43,0
22009	Albelda	2015	68	CAMBIAR	124,0
22011	Albero Alto	2007	1	PSOE	41,0
22011	Albero Alto	2007	2	PP	13,0
22011	Albero Alto	2007	3	PAR	3,0
22011	Albero Alto	2007	4	CHA	2,0
22011	Albero Alto	2011	1	PP	46,0
22011	Albero Alto	2011	2	PSOE	37,0
22011	Albero Alto	2011	3	PAR	9,0
22011	Albero Alto	2015	5	PAR	5,0
22011	Albero Alto	2015	6	PSOE	29,0
22011	Albero Alto	2015	8	PP	42,0
22012	Albero Bajo	2007	1	PSOE	44,0
22012	Albero Bajo	2007	2	PP	45,0
22012	Albero Bajo	2007	3	PAR	8,0
22012	Albero Bajo	2007	4	CHA	2,0
22012	Albero Bajo	2011	1	PP	28,0
22012	Albero Bajo	2011	2	PSOE	26,0
22012	Albero Bajo	2011	3	PAR	24,0
22012	Albero Bajo	2015	5	PAR	13,0
22012	Albero Bajo	2015	6	PSOE	44,0
22012	Albero Bajo	2015	8	PP	34,0
22013	Alberuela de Tubo	2007	1	PSOE	248,0
22013	Alberuela de Tubo	2007	2	PP	31,0
22013	Alberuela de Tubo	2011	1	PP	91,0
22013	Alberuela de Tubo	2011	2	PSOE	186,0
22013	Alberuela de Tubo	2015	6	PSOE	154,0
22013	Alberuela de Tubo	2015	8	PP	102,0
22014	Alcalá de Gurrea	2007	1	PSOE	102,0
22014	Alcalá de Gurrea	2007	3	PAR	113,0
22014	Alcalá de Gurrea	2011	2	PSOE	69,0
22014	Alcalá de Gurrea	2011	3	PAR	140,0
22014	Alcalá de Gurrea	2015	5	PAR	86,0
22014	Alcalá de Gurrea	2015	6	PSOE	65,0
22014	Alcalá de Gurrea	2015	8	PP	60,0
22015	Alcalá del Obispo	2007	1	PSOE	128,0
22015	Alcalá del Obispo	2007	2	PP	74,0
22015	Alcalá del Obispo	2007	3	PAR	77,0
22015	Alcalá del Obispo	2007	43	AIEADO	9,0
22015	Alcalá del Obispo	2011	1	PP	62,0
22015	Alcalá del Obispo	2011	2	PSOE	128,0
22015	Alcalá del Obispo	2011	3	PAR	63,0
22015	Alcalá del Obispo	2015	6	PSOE	113,0
22015	Alcalá del Obispo	2015	8	PP	115,0
22016	Alcampell	2007	1	PSOE	375,0
22016	Alcampell	2007	2	PP	101,0
22016	Alcampell	2007	3	PAR	78,0
22016	Alcampell	2011	1	PP	119,0
22016	Alcampell	2011	2	PSOE	312,0
22016	Alcampell	2011	3	PAR	89,0
22016	Alcampell	2015	5	PAR	64,0
22016	Alcampell	2015	6	PSOE	282,0
22016	Alcampell	2015	8	PP	77,0
22016	Alcampell	2015	85	CAMBIAR	42,0
22017	Alcolea de Cinca	2007	1	PSOE	149,0
22017	Alcolea de Cinca	2007	2	PP	123,0
22017	Alcolea de Cinca	2007	3	PAR	471,0
22017	Alcolea de Cinca	2007	4	CHA	20,0
22017	Alcolea de Cinca	2007	5	IU	33,0
22017	Alcolea de Cinca	2011	1	PP	107,0
22017	Alcolea de Cinca	2011	2	PSOE	140,0
22017	Alcolea de Cinca	2011	3	PAR	419,0
22017	Alcolea de Cinca	2011	5	IU	48,0
22017	Alcolea de Cinca	2015	5	PAR	287,0
22017	Alcolea de Cinca	2015	6	PSOE	159,0
22017	Alcolea de Cinca	2015	8	PP	116,0
22017	Alcolea de Cinca	2015	76	CAMBIAR	76,0
22018	Alcubierre	2007	1	PSOE	173,0
22018	Alcubierre	2007	3	PAR	161,0
22018	Alcubierre	2011	2	PSOE	170,0
22018	Alcubierre	2011	3	PAR	150,0
22018	Alcubierre	2015	5	PAR	102,0
22018	Alcubierre	2015	6	PSOE	160,0
22019	Alerre	2007	1	PSOE	68,0
22019	Alerre	2007	2	PP	53,0
22019	Alerre	2007	3	PAR	59,0
22019	Alerre	2007	4	CHA	7,0
22019	Alerre	2011	1	PP	35,0
22019	Alerre	2011	2	PSOE	93,0
22019	Alerre	2011	3	PAR	34,0
22019	Alerre	2015	5	PAR	40,0
22019	Alerre	2015	6	PSOE	92,0
22019	Alerre	2015	8	PP	27,0
22020	Alfántega	2007	1	PSOE	48,0
22020	Alfántega	2007	2	PP	31,0
22020	Alfántega	2007	3	PAR	35,0
