Provincia código	Provincia nombre	Año	Orden	Siglas	Votos
22	Huesca	2007	1	PSOE	51820,0
22	Huesca	2007	2	PP	34366,0
22	Huesca	2007	3	PAR	18455,0
22	Huesca	2007	4	CHA	10092,0
22	Huesca	2007	5	IU	3009,0
22	Huesca	2007	9	CDL	190,0
22	Huesca	2007	10	IU-A	943,0
22	Huesca	2007	13	LV-GV	803,0
22	Huesca	2007	16	PFYV	45,0
22	Huesca	2007	18	P.S.	236,0
22	Huesca	2007	19	ALCIVI	233,0
22	Huesca	2007	20	AEI-CP	184,0
22	Huesca	2007	25	A.E.S.	100,0
22	Huesca	2007	26	AI	91,0
22	Huesca	2007	27	I.E.I.	79,0
22	Huesca	2007	28	LV	74,0
22	Huesca	2007	32	AE	51,0
22	Huesca	2007	34	AESCSB	48,0
22	Huesca	2007	41	FV	15,0
22	Huesca	2007	42	AE NAVAL-MI	11,0
22	Huesca	2007	43	AIEADO	9,0
22	Huesca	2011	1	PP	40233,0
22	Huesca	2011	2	PSOE	44567,0
22	Huesca	2011	3	PAR	19352,0
22	Huesca	2011	4	CHA	7259,0
22	Huesca	2011	5	IU	4758,0
22	Huesca	2011	6	UPyD	564,0
22	Huesca	2011	7	COMPROMISO CON ARAGON	40,0
22	Huesca	2011	8	FIA	388,0
22	Huesca	2011	9	ECOLO	996,0
22	Huesca	2011	11	PACMA	56,0
22	Huesca	2011	12	CDL	86,0
22	Huesca	2011	17	AES	183,0
22	Huesca	2011	20	CDF	281,0
22	Huesca	2011	24	A E I POLEÑINO	94,0
22	Huesca	2011	28	AELEF	63,0
22	Huesca	2011	33	CCD	40,0
22	Huesca	2011	34	UCE	15,0
22	Huesca	2011	37	A E NAVAL-MIPANAS	15,0
22	Huesca	2015	4	C's	4826,0
22	Huesca	2015	5	PAR	15419,0
22	Huesca	2015	6	PSOE	40770,0
22	Huesca	2015	7	CHA	3715,0
22	Huesca	2015	8	PP	32437,0
22	Huesca	2015	9	UPyD	227,0
22	Huesca	2015	10	EB	511,0
22	Huesca	2015	13	ARAGONSIPUEDE	3840,0
22	Huesca	2015	15	CAMBIAR	3336,0
22	Huesca	2015	23	CAMBIAR	1244,0
22	Huesca	2015	24	CHA	1191,0
22	Huesca	2015	28	FIA	206,0
22	Huesca	2015	31	CAMBIAR	924,0
22	Huesca	2015	34	CAMBIAR	748,0
22	Huesca	2015	35	CAMBIAR	605,0
22	Huesca	2015	36	CAMBIAR	601,0
22	Huesca	2015	42	CXF	446,0
22	Huesca	2015	47	C.P.Btro	327,0
22	Huesca	2015	50	CAMBIAR	284,0
22	Huesca	2015	60	CAMBIAR	173,0
22	Huesca	2015	63	A.E.G.	148,0
22	Huesca	2015	65	CAMBIAR	143,0
22	Huesca	2015	67	A.I.E.V.I.	129,0
22	Huesca	2015	68	CAMBIAR	124,0
22	Huesca	2015	69	CAMBIAR	115,0
22	Huesca	2015	70	CAMBIAR	107,0
22	Huesca	2015	71	CAMBIAR	104,0
22	Huesca	2015	73	AeF	91,0
22	Huesca	2015	76	CAMBIAR	76,0
22	Huesca	2015	80	AGRUPACION DE ELECTORES SAN JUAN DE PLAN	53,0
22	Huesca	2015	82	CAMBIAR	48,0
22	Huesca	2015	83	CAMBIAR	43,0
22	Huesca	2015	85	CAMBIAR	42,0
44	Teruel	2007	1	PSOE	28855,0
44	Teruel	2007	2	PP	25319,0
44	Teruel	2007	3	PAR	18531,0
