Comarca código	Comarca nombre	Año	Orden	Siglas	Concejales
01	La Jacetania	2007	1	PSOE	58,0
01	La Jacetania	2007	2	PP	14,0
01	La Jacetania	2007	3	PAR	29,0
01	La Jacetania	2007	4	CHA	12,0
01	La Jacetania	2007	5	IU	0,0
01	La Jacetania	2007	9	CDL	0,0
01	La Jacetania	2007	28	LV	0,0
01	La Jacetania	2007	34	AESCSB	1,0
01	La Jacetania	2011	1	PP	26,0
01	La Jacetania	2011	2	PSOE	55,0
01	La Jacetania	2011	3	PAR	26,0
01	La Jacetania	2011	4	CHA	9,0
01	La Jacetania	2011	5	IU	1,0
01	La Jacetania	2011	9	ECOLO	0,0
01	La Jacetania	2011	11	PACMA	0,0
01	La Jacetania	2011	12	CDL	0,0
01	La Jacetania	2011	36	PYLN	1,0
01	La Jacetania	2015	1	PP	1,0
01	La Jacetania	2015	2	PSOE	1,0
01	La Jacetania	2015	4	C's	0,0
01	La Jacetania	2015	5	PAR	8,0
01	La Jacetania	2015	6	PSOE	63,0
01	La Jacetania	2015	7	CHA	11,0
01	La Jacetania	2015	8	PP	21,0
01	La Jacetania	2015	13	ARAGONSIPUEDE	1,0
01	La Jacetania	2015	21	PAR	4,0
01	La Jacetania	2015	24	CHA	4,0
01	La Jacetania	2015	35	CAMBIAR	1,0
01	La Jacetania	2015	91	CAMBIAR ARTIEDA-PUYALÓN DE CUCHAS	1,0
02	Alto Gállego	2007	1	PSOE	23,0
02	Alto Gállego	2007	2	PP	9,0
02	Alto Gállego	2007	3	PAR	11,0
02	Alto Gállego	2007	4	CHA	4,0
02	Alto Gállego	2007	5	IU	3,0
02	Alto Gállego	2011	1	PP	13,0
02	Alto Gállego	2011	2	PSOE	24,0
02	Alto Gállego	2011	3	PAR	15,0
02	Alto Gállego	2011	4	CHA	2,0
02	Alto Gállego	2011	5	IU	2,0
02	Alto Gállego	2015	4	C's	0,0
02	Alto Gállego	2015	5	PAR	16,0
02	Alto Gállego	2015	6	PSOE	20,0
02	Alto Gállego	2015	7	CHA	1,0
02	Alto Gállego	2015	8	PP	12,0
02	Alto Gállego	2015	24	CHA	1,0
02	Alto Gállego	2015	34	CAMBIAR	2,0
03	Sobrarbe	2007	1	PSOE	61,0
03	Sobrarbe	2007	2	PP	27,0
03	Sobrarbe	2007	3	PAR	14,0
03	Sobrarbe	2007	4	CHA	11,0
03	Sobrarbe	2007	41	FV	0,0
03	Sobrarbe	2011	1	PP	30,0
03	Sobrarbe	2011	2	PSOE	56,0
03	Sobrarbe	2011	3	PAR	20,0
03	Sobrarbe	2011	4	CHA	10,0
03	Sobrarbe	2011	5	IU	1,0
03	Sobrarbe	2015	5	PAR	19,0
