Municipio código	Municipio nombre	Año	Orden	Siglas	Concejales
22001	Abiego	2007	1	PSOE	2,0
22001	Abiego	2007	2	PP	5,0
22001	Abiego	2011	1	PP	5,0
22001	Abiego	2011	2	PSOE	2,0
22001	Abiego	2015	5	PAR	0,0
22001	Abiego	2015	6	PSOE	5,0
22001	Abiego	2015	8	PP	2,0
22002	Abizanda	2007	1	PSOE	5,0
22002	Abizanda	2007	2	PP	0,0
22002	Abizanda	2007	4	CHA	0,0
22002	Abizanda	2011	1	PP	1,0
22002	Abizanda	2011	2	PSOE	4,0
22002	Abizanda	2011	3	PAR	0,0
22002	Abizanda	2015	6	PSOE	2,0
22002	Abizanda	2015	7	CHA	0,0
22002	Abizanda	2015	8	PP	3,0
22003	Adahuesca	2007	1	PSOE	4,0
22003	Adahuesca	2007	2	PP	0,0
22003	Adahuesca	2007	3	PAR	1,0
22003	Adahuesca	2007	4	CHA	0,0
22003	Adahuesca	2011	1	PP	2,0
22003	Adahuesca	2011	2	PSOE	2,0
22003	Adahuesca	2011	3	PAR	1,0
22003	Adahuesca	2011	9	ECOLO	0,0
22003	Adahuesca	2015	4	C's	0,0
22003	Adahuesca	2015	5	PAR	1,0
22003	Adahuesca	2015	6	PSOE	1,0
22003	Adahuesca	2015	8	PP	2,0
22003	Adahuesca	2015	13	ARAGONSIPUEDE	1,0
22004	Agüero	2007	1	PSOE	0,0
22004	Agüero	2007	2	PP	3,0
22004	Agüero	2007	3	PAR	2,0
22004	Agüero	2007	4	CHA	0,0
22004	Agüero	2011	1	PP	4,0
22004	Agüero	2011	2	PSOE	0,0
22004	Agüero	2011	3	PAR	1,0
22004	Agüero	2015	5	PAR	0,0
22004	Agüero	2015	6	PSOE	1,0
22004	Agüero	2015	8	PP	4,0
22006	Aísa	2007	1	PSOE	5,0
22006	Aísa	2007	2	PP	1,0
22006	Aísa	2007	3	PAR	1,0
22006	Aísa	2011	1	PP	2,0
22006	Aísa	2011	2	PSOE	4,0
22006	Aísa	2011	3	PAR	1,0
22006	Aísa	2015	5	PAR	0,0
22006	Aísa	2015	6	PSOE	5,0
22006	Aísa	2015	8	PP	2,0
22007	Albalate de Cinca	2007	1	PSOE	3,0
22007	Albalate de Cinca	2007	2	PP	4,0
22007	Albalate de Cinca	2007	3	PAR	2,0
22007	Albalate de Cinca	2011	1	PP	4,0
22007	Albalate de Cinca	2011	2	PSOE	3,0
22007	Albalate de Cinca	2011	3	PAR	2,0
22007	Albalate de Cinca	2015	5	PAR	1,0
22007	Albalate de Cinca	2015	6	PSOE	3,0
22007	Albalate de Cinca	2015	8	PP	5,0
22008	Albalatillo	2007	1	PSOE	2,0
22008	Albalatillo	2007	3	PAR	5,0
22008	Albalatillo	2011	1	PP	0,0
22008	Albalatillo	2011	2	PSOE	0,0
