Provincia código	Provincia nombre	Año	Orden	Siglas	Concejales
22	Huesca	2007	1	PSOE	631,0
22	Huesca	2007	2	PP	331,0
22	Huesca	2007	3	PAR	241,0
22	Huesca	2007	4	CHA	84,0
22	Huesca	2007	5	IU	6,0
22	Huesca	2007	9	CDL	0,0
22	Huesca	2007	10	IU-A	1,0
22	Huesca	2007	13	LV-GV	1,0
22	Huesca	2007	16	PFYV	0,0
22	Huesca	2007	18	P.S.	1,0
22	Huesca	2007	19	ALCIVI	0,0
22	Huesca	2007	20	AEI-CP	4,0
22	Huesca	2007	25	A.E.S.	2,0
22	Huesca	2007	26	AI	0,0
22	Huesca	2007	27	I.E.I.	0,0
22	Huesca	2007	28	LV	0,0
22	Huesca	2007	32	AE	1,0
22	Huesca	2007	34	AESCSB	1,0
22	Huesca	2007	41	FV	0,0
22	Huesca	2007	42	AE NAVAL-MI	0,0
22	Huesca	2007	43	AIEADO	0,0
22	Huesca	2011	1	PP	410,0
22	Huesca	2011	2	PSOE	577,0
22	Huesca	2011	3	PAR	261,0
22	Huesca	2011	4	CHA	57,0
22	Huesca	2011	5	IU	12,0
22	Huesca	2011	6	UPyD	0,0
22	Huesca	2011	7	COMPROMISO CON ARAGON	0,0
22	Huesca	2011	8	FIA	0,0
22	Huesca	2011	9	ECOLO	0,0
22	Huesca	2011	11	PACMA	0,0
22	Huesca	2011	12	CDL	0,0
22	Huesca	2011	17	AES	0,0
22	Huesca	2011	20	CDF	4,0
22	Huesca	2011	24	A E I POLEÑINO	1,0
22	Huesca	2011	28	AELEF	4,0
22	Huesca	2011	33	CCD	0,0
22	Huesca	2011	34	UCE	0,0
22	Huesca	2011	37	A E NAVAL-MIPANAS	0,0
22	Huesca	2015	4	C's	7,0
22	Huesca	2015	5	PAR	226,0
22	Huesca	2015	6	PSOE	616,0
22	Huesca	2015	7	CHA	27,0
22	Huesca	2015	8	PP	363,0
22	Huesca	2015	9	UPyD	0,0
22	Huesca	2015	10	EB	0,0
22	Huesca	2015	13	ARAGONSIPUEDE	14,0
22	Huesca	2015	15	CAMBIAR	4,0
22	Huesca	2015	23	CAMBIAR	3,0
22	Huesca	2015	24	CHA	5,0
22	Huesca	2015	28	FIA	2,0
22	Huesca	2015	31	CAMBIAR	3,0
22	Huesca	2015	34	CAMBIAR	2,0
22	Huesca	2015	35	CAMBIAR	1,0
22	Huesca	2015	36	CAMBIAR	1,0
22	Huesca	2015	42	CXF	1,0
22	Huesca	2015	47	C.P.Btro	0,0
22	Huesca	2015	50	CAMBIAR	0,0
22	Huesca	2015	60	CAMBIAR	2,0
22	Huesca	2015	63	A.E.G.	3,0
