CCAA nombre	CCAA código	Año	Votos	Siglas	Candidatura
Aragón	02	2019		PODEMOS-IU-Alto Aragón en Comú	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚ
Aragón	02	2019	636391,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2019	601416,0	PP	PARTIDO POPULAR
Aragón	02	2019	178099,0	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2019	164575,0	PODEMOS-IU	UNIDAS PODEMOS
Aragón	02	2019	105886,0	VOX	VOX
Aragón	02	2019	57340,0	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
Aragón	02	2019	51532,0	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
Aragón	02	2019	19670,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
Aragón	02	2019	12210,0	EB	ESCAÑOS EN BLANCO
Aragón	02	2019	7622,0	CHA	CHUNTA ARAGONESISTA
Aragón	02	2019	4653,0	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE
Aragón	02	2019	2327,0	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
Aragón	02	2019	1931,0	PUM+J	POR UN MUNDO MÁS JUSTO
Aragón	02	2019	1514,0	MAS	MOVIMIENTO ARAGONES SOCIAL
Aragón	02	2019	1509,0	TA	TIERRA ARAGONESA
Aragón	02	2019	1373,0	PYL	PUYALO
Aragón	02	2019	1220,0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
Aragón	02	2019	1203,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
Aragón	02	2019	79,0	UDT	UNIÓN DE TODOS
Aragón	02	2019	30,0	AUNACV	AUNA COMUNITAT VALENCIANA
Aragón	02	2016	701118,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS
Aragón	02	2016	507999,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL
Aragón	02	2016	299725,0	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN
Aragón	02	2016	254582,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
Aragón	02	2016	54762,0	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN
