Comarca código	Comarca nombre	Año	Orden	Votos	Siglas
01	La Jacetania	2011	1	11231,0	PP-PAR
01	La Jacetania	2011	2	8561,0	PSOE
01	La Jacetania	2011	3	2510,0	CHA-IU
01	La Jacetania	2011	4	532,0	UPyD
01	La Jacetania	2011	5	388,0	EQUO
01	La Jacetania	2011	6	143,0	PACMA
01	La Jacetania	2011	7	1,0	Eb
01	La Jacetania	2011	8	60,0	PCPE
01	La Jacetania	2011	9	94,0	PUM+J
01	La Jacetania	2011	11	27,0	UCE
01	La Jacetania	2011	12	1,0	DeC
01	La Jacetania	2011	13	2,0	PH
01	La Jacetania	2011	14	2,0	P-LIB
01	La Jacetania	2011	15	0,0	SXT
02	Alto Gállego	2011	1	8592,0	PP-PAR
02	Alto Gállego	2011	2	6705,0	PSOE
02	Alto Gállego	2011	3	1656,0	CHA-IU
02	Alto Gállego	2011	4	292,0	UPyD
02	Alto Gállego	2011	5	261,0	EQUO
02	Alto Gállego	2011	6	81,0	PACMA
02	Alto Gállego	2011	7	0,0	Eb
02	Alto Gállego	2011	8	36,0	PCPE
02	Alto Gállego	2011	9	52,0	PUM+J
02	Alto Gállego	2011	11	19,0	UCE
02	Alto Gállego	2011	12	0,0	DeC
02	Alto Gállego	2011	13	0,0	PH
02	Alto Gállego	2011	14	0,0	P-LIB
02	Alto Gállego	2011	15	0,0	SXT
03	Sobrarbe	2011	1	5302,0	PP-PAR
03	Sobrarbe	2011	2	3822,0	PSOE
03	Sobrarbe	2011	3	1044,0	CHA-IU
03	Sobrarbe	2011	4	192,0	UPyD
03	Sobrarbe	2011	5	178,0	EQUO
03	Sobrarbe	2011	6	33,0	PACMA
03	Sobrarbe	2011	7	0,0	Eb
03	Sobrarbe	2011	8	18,0	PCPE
03	Sobrarbe	2011	9	28,0	PUM+J
03	Sobrarbe	2011	11	13,0	UCE
03	Sobrarbe	2011	12	0,0	DeC
03	Sobrarbe	2011	13	0,0	PH
03	Sobrarbe	2011	14	0,0	P-LIB
