Provincia código	Provincia nombre	Año	Votos	Siglas	Diputados
22	Huesca	2015	39631,0	PP-PAR	1,0
22	Huesca	2015	30039,0	PSOE	1,0
22	Huesca	2015	21768,0	PODEMOS-Ahora Alto Aragón en Común	1,0
22	Huesca	2015	19703,0	C's	0,0
22	Huesca	2015	6400,0	IU-CHA-UPeC	0,0
22	Huesca	2015	847,0	UPYD	0,0
22	Huesca	2015	785,0	PACMA	0,0
22	Huesca	2015	547,0	EB	0,0
22	Huesca	2015	248,0	RECORTES CERO-GRUPO VERDE	0,0
22	Huesca	2015	253,0	PCPE	0,0
22	Huesca	2015	113,0	Independientes-FIA	0,0
44	Teruel	2015	28224,0	PP-PAR	2,0
44	Teruel	2015	19854,0	PSOE	1,0
44	Teruel	2015	11806,0	PODEMOS	0,0
44	Teruel	2015	11400,0	C's	0,0
44	Teruel	2015	3873,0	IU-CHA-UPeC	0,0
44	Teruel	2015	449,0	UPYD	0,0
44	Teruel	2015	375,0	PACMA	0,0
44	Teruel	2015	317,0	EB	0,0
44	Teruel	2015	135,0	RECORTES CERO-GRUPO VERDE	0,0
44	Teruel	2015	105,0	PCPE	0,0
50	Zaragoza	2015	161341,0	PP-PAR	3,0
50	Zaragoza	2015	118742,0	PSOE	2,0
50	Zaragoza	2015	102189,0	PODEMOS	1,0
50	Zaragoza	2015	94800,0	C's	1,0
50	Zaragoza	2015	34773,0	IU-CHA-UPeC	0,0
50	Zaragoza	2015	4495,0	UPYD	0,0
50	Zaragoza	2015	4042,0	PACMA	0,0
50	Zaragoza	2015	2987,0	EB	0,0
50	Zaragoza	2015	1839,0	VOX	0,0
50	Zaragoza	2015	1079,0	RECORTES CERO-GRUPO VERDE	0,0
50	Zaragoza	2015	873,0	PCPE	0,0
50	Zaragoza	2015	560,0	Independientes-FIA	0,0
