Comarca código	Comarca nombre	Año	Siglas	Votos	Candidatura
01	La Jacetania	2019	PSOE	3060,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
01	La Jacetania	2019	PP	2058,0	PARTIDO POPULAR
01	La Jacetania	2019	VOX	1354,0	VOX
01	La Jacetania	2019	PODEMOS-IU	1393,0	UNIDAS PODEMOS
01	La Jacetania	2019	Cs	702,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
01	La Jacetania	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
01	La Jacetania	2019	M PAÍS-CHA-EQUO	28,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
01	La Jacetania	2019	PACMA	56,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
01	La Jacetania	2019	EB	20,0	ESCAÑOS EN BLANCO
01	La Jacetania	2019	CHA	271,0	CHUNTA ARAGONESISTA
01	La Jacetania	2019	MAS	1,0	MOVIMIENTO ARAGONES SOCIAL
01	La Jacetania	2019	RECORTES CERO-GV	11,0	RECORTES CERO-GRUPO VERDE
01	La Jacetania	2019	PUM+J	14,0	POR UN MUNDO MÁS JUSTO
01	La Jacetania	2019	PCPE	12,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
01	La Jacetania	2019	FIA	8,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
01	La Jacetania	2019	PCTE	4,0	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA
01	La Jacetania	2019	PCOE	0,0	PARTIDO COMUNISTA OBRERO ESPAÑOL
01	La Jacetania	2019	AUNACV	0,0	AUNA COMUNITAT VALENCIANA
01	La Jacetania	2019	UDT	0,0	UNIÓN DE TODOS
02	Alto Gállego	2019	PSOE	2340,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL
02	Alto Gállego	2019	PP	1540,0	PARTIDO POPULAR
02	Alto Gállego	2019	VOX	848,0	VOX
02	Alto Gállego	2019	PODEMOS-IU	1020,0	UNIDAS PODEMOS
02	Alto Gállego	2019	Cs	520,0	CIUDADANOS-PARTIDO DE LA CIUDADANÍA
02	Alto Gállego	2019	¡TERUEL EXISTE!	0,0	AGRUPACIÓN DE ELECTORES TERUEL EXISTE
02	Alto Gállego	2019	M PAÍS-CHA-EQUO	0,0	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO
02	Alto Gállego	2019	PACMA	51,0	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL
02	Alto Gállego	2019	EB	20,0	ESCAÑOS EN BLANCO
02	Alto Gállego	2019	CHA	149,0	CHUNTA ARAGONESISTA
02	Alto Gállego	2019	MAS	0,0	MOVIMIENTO ARAGONES SOCIAL
02	Alto Gállego	2019	RECORTES CERO-GV	11,0	RECORTES CERO-GRUPO VERDE
02	Alto Gállego	2019	PUM+J	7,0	POR UN MUNDO MÁS JUSTO
02	Alto Gállego	2019	PCPE	7,0	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA
02	Alto Gállego	2019	FIA	4,0	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ
