Provincia código	Provincia nombre	Año	Siglas	Candidatura	Votos	Diputados
22	Huesca	2019	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	38101,0	2,0
22	Huesca	2019	PP	PARTIDO POPULAR	29804,0	1,0
22	Huesca	2019	VOX	VOX	17237,0	0,0
22	Huesca	2019	PODEMOS-IU	UNIDAS PODEMOS	14035,0	0,0
22	Huesca	2019	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	9244,0	0,0
22	Huesca	2019	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	0,0	0,0
22	Huesca	2019	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	0,0	0,0
22	Huesca	2019	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	735,0	0,0
22	Huesca	2019	EB	ESCAÑOS EN BLANCO	393,0	0,0
22	Huesca	2019	CHA	CHUNTA ARAGONESISTA	2000,0	0,0
22	Huesca	2019	MAS	MOVIMIENTO ARAGONES SOCIAL	0,0	0,0
22	Huesca	2019	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	198,0	0,0
22	Huesca	2019	PUM+J	POR UN MUNDO MÁS JUSTO	153,0	0,0
22	Huesca	2019	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	100,0	0,0
22	Huesca	2019	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	75,0	0,0
22	Huesca	2019	PYL	PUYALO		0,0
22	Huesca	2019	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	86,0	0,0
22	Huesca	2019	PCOE	PARTIDO COMUNISTA OBRERO ESPAÑOL	0,0	0,0
22	Huesca	2019	AUNACV	AUNA COMUNITAT VALENCIANA	0,0	0,0
22	Huesca	2019	UDT	UNIÓN DE TODOS	0,0	0,0
44	Teruel	2019	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	18934,0	1,0
44	Teruel	2019	PP	PARTIDO POPULAR	17520,0	1,0
44	Teruel	2019	VOX	VOX	9346,0	0,0
44	Teruel	2019	PODEMOS-IU	UNIDAS PODEMOS	3982,0	0,0
44	Teruel	2019	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	3732,0	0,0
44	Teruel	2019	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	19761,0	1,0
44	Teruel	2019	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	0,0	0,0
44	Teruel	2019	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	212,0	0,0
44	Teruel	2019	EB	ESCAÑOS EN BLANCO	0,0	0,0
44	Teruel	2019	CHA	CHUNTA ARAGONESISTA	0,0	0,0
44	Teruel	2019	MAS	MOVIMIENTO ARAGONES SOCIAL	0,0	0,0
44	Teruel	2019	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	0,0	0,0
44	Teruel	2019	PUM+J	POR UN MUNDO MÁS JUSTO	35,0	0,0
44	Teruel	2019	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	45,0	0,0
44	Teruel	2019	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	0,0	0,0
44	Teruel	2019	PYL	PUYALO		0,0
44	Teruel	2019	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	0,0	0,0
44	Teruel	2019	PCOE	PARTIDO COMUNISTA OBRERO ESPAÑOL	96,0	0,0
44	Teruel	2019	AUNACV	AUNA COMUNITAT VALENCIANA	13,0	0,0
44	Teruel	2019	UDT	UNIÓN DE TODOS	26,0	0,0
50	Zaragoza	2019	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	158326,0	3,0
50	Zaragoza	2019	PP	PARTIDO POPULAR	119909,0	2,0
50	Zaragoza	2019	VOX	VOX	92353,0	1,0
50	Zaragoza	2019	PODEMOS-IU	UNIDAS PODEMOS	57875,0	1,0
50	Zaragoza	2019	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	47001,0	0,0
50	Zaragoza	2019	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	0,0	0,0
50	Zaragoza	2019	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	23196,0	0,0
50	Zaragoza	2019	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	3618,0	0,0
50	Zaragoza	2019	EB	ESCAÑOS EN BLANCO	1940,0	0,0
50	Zaragoza	2019	CHA	CHUNTA ARAGONESISTA	0,0	0,0
50	Zaragoza	2019	MAS	MOVIMIENTO ARAGONES SOCIAL	1068,0	0,0
50	Zaragoza	2019	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	861,0	0,0
50	Zaragoza	2019	PUM+J	POR UN MUNDO MÁS JUSTO	485,0	0,0
50	Zaragoza	2019	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	331,0	0,0
50	Zaragoza	2019	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	386,0	0,0
50	Zaragoza	2019	PYL	PUYALO		0,0
50	Zaragoza	2019	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	414,0	0,0
50	Zaragoza	2019	PCOE	PARTIDO COMUNISTA OBRERO ESPAÑOL	0,0	0,0
50	Zaragoza	2019	AUNACV	AUNA COMUNITAT VALENCIANA	0,0	0,0
50	Zaragoza	2019	UDT	UNIÓN DE TODOS	0,0	0,0
22	Huesca	2016	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	42351,0	1,0
22	Huesca	2016	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	29866,0	1,0
22	Huesca	2016	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN	22251,0	1,0
22	Huesca	2016	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	17906,0	0,0
22	Huesca	2016	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	908,0	0,0
22	Huesca	2016	EB	ESCAÑOS EN BLANCO	488,0	0,0
22	Huesca	2016	VOX	VOX	326,0	0,0
22	Huesca	2016	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	236,0	0,0
22	Huesca	2016	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	214,0	0,0
22	Huesca	2016	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	157,0	0,0
22	Huesca	2016	MAS	MOVIMIENTO ARAGONÉS SOCIAL	91,0	0,0
22	Huesca	2016	ENTABAN	ENTABAN	257,0	0,0
44	Teruel	2016	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	30837,0	2,0
44	Teruel	2016	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	19638,0	1,0
