Año	Siglas	Votos	Candidatura	Comarca código	Comarca nombre
2019	PSOE	8764,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	01	La Jacetania
2019	PSOE	6775,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	02	Alto Gállego
2019	PSOE	4123,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	03	Sobrarbe
2019	PSOE	5673,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	04	La Ribagorza
2019	PSOE	18315,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	05	Cinco Villas
2019	PSOE	34725,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	06	Hoya de Huesca / Plana de Uesca
2019	PSOE	12061,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	07	Somontano de Barbastro
2019	PSOE	12032,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	08	Cinca Medio
2019	PSOE	8644,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	09	La Litera / La Llitera
2019	PSOE	11403,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	10	Los Monegros
2019	PSOE	10238,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	11	Bajo Cinca / Baix Cinca
2019	PSOE	7863,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	12	Tarazona y el Moncayo
2019	PSOE	8142,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	13	Campo de Borja
2019	PSOE	3440,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	14	Aranda
2019	PSOE	15949,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	15	Ribera Alta del Ebro
2019	PSOE	12114,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	16	Valdejalón
2019	PSOE	355360,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	17	D.C. Zaragoza
2019	PSOE	5199,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	18	Ribera Baja del Ebro
2019	PSOE	6603,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	19	Bajo Aragón-Caspe / Baix Aragó-Casp
2019	PSOE	19651,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	20	Comunidad de Calatayud
2019	PSOE	5423,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	21	Campo de Cariñena
2019	PSOE	2750,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Campo de Belchite
2019	PSOE	3550,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	23	Bajo Martín
2019	PSOE	2601,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	24	Campo de Daroca
2019	PSOE	4378,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	25	Jiloca
2019	PSOE	4923,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	26	Cuencas Mineras
2019	PSOE	4953,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	27	Andorra-Sierra de Arcos
2019	PSOE	11930,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	28	Bajo Aragón
2019	PSOE	14504,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	29	Comunidad de Teruel
2019	PSOE	1331,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	30	Maestrazgo
2019	PSOE	2316,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	31	Sierra de Albarracín
2019	PSOE	3351,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	32	Gúdar-Javalambre
2019	PSOE	3484,0	PARTIDO SOCIALISTA OBRERO ESPAÑOL	33	Matarraña / Matarranya
2019	PP	7107,0	PARTIDO POPULAR	01	La Jacetania
2019	PP	5186,0	PARTIDO POPULAR	02	Alto Gállego
2019	PP	3159,0	PARTIDO POPULAR	03	Sobrarbe
2019	PP	5657,0	PARTIDO POPULAR	04	La Ribagorza
2019	PP	13640,0	PARTIDO POPULAR	05	Cinco Villas
2019	PP	32263,0	PARTIDO POPULAR	06	Hoya de Huesca / Plana de Uesca
2019	PP	12877,0	PARTIDO POPULAR	07	Somontano de Barbastro
