Municipio código	Municipio nombre	Año	Votos	Siglas
50297	Zaragoza	2008	484530,0	PSOE
50297	Zaragoza	2011	444264,0	PP-PAR
50297	Zaragoza	2008	388676,0	PP
50297	Zaragoza	2016	352742,0	PP-PAR
50297	Zaragoza	2019	323876,0	PSOE
50297	Zaragoza	2015	310540,0	PP-PAR
50297	Zaragoza	2019	307957,0	PP
50297	Zaragoza	2011	274650,0	PSOE
50297	Zaragoza	2016	235448,0	PSOE
50297	Zaragoza	2015	208002,0	PSOE
50297	Zaragoza	2016	207553,0	PODEMOS-IU-EQUO
50297	Zaragoza	2015	196248,0	PODEMOS
50297	Zaragoza	2015	154422,0	C's
50297	Zaragoza	2016	147508,0	C's
50297	Zaragoza	2019	116580,0	PODEMOS-IU
50297	Zaragoza	2011	111751,0	CHA-IU
50297	Zaragoza	2019	103309,0	Cs
50297	Zaragoza	2015	75070,0	IU-CHA-UPeC
50297	Zaragoza	2008	61149,0	CHA
50297	Zaragoza	2019	57921,0	VOX
50297	Zaragoza	2008	48436,0	PAR
50297	Zaragoza	2019	39459,0	M PAÍS-CHA-EQUO
22125	Huesca	2008	35293,0	PSOE
50297	Zaragoza	2008	34567,0	IU
22125	Huesca	2011	32684,0	PP-PAR
22125	Huesca	2008	29596,0	PP
44216	Teruel	2011	26743,0	PP-PAR
22125	Huesca	2019	26376,0	PSOE
50297	Zaragoza	2011	26030,0	UPyD
44216	Teruel	2008	25578,0	PP
22125	Huesca	2016	25564,0	PP-PAR
44216	Teruel	2019	24030,0	¡TERUEL EXISTE!
22125	Huesca	2019	23447,0	PP
44216	Teruel	2016	22746,0	PP-PAR
22125	Huesca	2015	22356,0	PP-PAR
22125	Huesca	2011	21778,0	PSOE
44216	Teruel	2008	21108,0	PSOE
50297	Zaragoza	2015	20949,0	EB
44216	Teruel	2015	19652,0	PP-PAR
22125	Huesca	2016	19040,0	PSOE
22125	Huesca	2015	17638,0	PSOE
50297	Zaragoza	2016	16312,0	PACMA
50297	Zaragoza	2008	15552,0	UPyD
50095	Ejea de los Caballeros	2008	15511,0	PSOE
50297	Zaragoza	2016	14703,0	EB
44216	Teruel	2019	14211,0	PP
50067	Calatayud	2011	14172,0	PP-PAR
22125	Huesca	2016	14085,0	PODEMOS-IU-EQUO
50297	Zaragoza	2015	13711,0	PACMA
50067	Calatayud	2008	13105,0	PSOE
50067	Calatayud	2008	12928,0	PP
22125	Huesca	2015	12440,0	PODEMOS-Ahora Alto Aragón en Común
22048	Barbastro	2008	12421,0	PSOE
44216	Teruel	2011	12417,0	PSOE
22048	Barbastro	2011	12182,0	PP-PAR
22158	Monzón	2008	12155,0	PSOE
50297	Zaragoza	2019	12041,0	PACMA
22125	Huesca	2015	11821,0	C's
44216	Teruel	2016	11813,0	PSOE
50297	Zaragoza	2015	11599,0	UPYD
50067	Calatayud	2016	11438,0	PP-PAR
50095	Ejea de los Caballeros	2011	11293,0	PSOE
50272	Utebo	2008	11121,0	PSOE
22158	Monzón	2011	10828,0	PP-PAR
44216	Teruel	2015	10727,0	PSOE
22125	Huesca	2016	10618,0	C's
50067	Calatayud	2019	10515,0	PP
22048	Barbastro	2008	10507,0	PP
50297	Zaragoza	2011	10457,0	Eb
44013	Alcañiz	2008	10402,0	PSOE
50272	Utebo	2011	10231,0	PP-PAR
44013	Alcañiz	2011	10184,0	PP-PAR
50095	Ejea de los Caballeros	2019	10108,0	PSOE
22112	Fraga	2011	10085,0	PP-PAR
22048	Barbastro	2016	9852,0	PP-PAR
50067	Calatayud	2015	9763,0	PP-PAR
44216	Teruel	2019	9599,0	PSOE
50297	Zaragoza	2011	9520,0	EQUO
50095	Ejea de los Caballeros	2011	9513,0	PP-PAR
22130	Jaca	2008	9358,0	PSOE
50095	Ejea de los Caballeros	2016	9323,0	PSOE
50095	Ejea de los Caballeros	2015	9226,0	PSOE
22112	Fraga	2008	9171,0	PP
22158	Monzón	2008	9032,0	PP
22112	Fraga	2008	9015,0	PSOE
44013	Alcañiz	2016	8746,0	PP-PAR
22048	Barbastro	2019	8727,0	PP
22048	Barbastro	2015	8682,0	PP-PAR
50067	Calatayud	2019	8639,0	PSOE
44216	Teruel	2015	8588,0	C's
50067	Calatayud	2011	8554,0	PSOE
50251	Tarazona	2011	8545,0	PP-PAR
22125	Huesca	2019	8484,0	PODEMOS-IU
22158	Monzón	2019	8141,0	PSOE
22158	Monzón	2016	8066,0	PP-PAR
50251	Tarazona	2008	8048,0	PSOE
50297	Zaragoza	2019	8037,0	EB
22158	Monzón	2011	7982,0	PSOE
22199	Sabiñánigo	2008	7957,0	PSOE
22048	Barbastro	2011	7955,0	PSOE
22130	Jaca	2011	7952,0	PP-PAR
22048	Barbastro	2019	7929,0	PSOE
44013	Alcañiz	2015	7881,0	PP-PAR
50272	Utebo	2008	7850,0	PP
50297	Zaragoza	2011	7797,0	PACMA
50272	Utebo	2019	7784,0	PSOE
44013	Alcañiz	2008	7728,0	PP
50095	Ejea de los Caballeros	2016	7629,0	PP-PAR
44216	Teruel	2016	7583,0	PODEMOS-IU-EQUO
50089	Cuarte de Huerva	2011	7500,0	PP-PAR
44025	Andorra	2008	7485,0	PSOE
50095	Ejea de los Caballeros	2008	7430,0	PP
44216	Teruel	2016	7407,0	C's
44216	Teruel	2015	7374,0	PODEMOS
50067	Calatayud	2016	7346,0	PSOE
22112	Fraga	2016	7263,0	PP-PAR
22158	Monzón	2019	7081,0	PP
22158	Monzón	2015	7013,0	PP-PAR
50251	Tarazona	2008	6953,0	PP
50095	Ejea de los Caballeros	2015	6891,0	PP-PAR
50272	Utebo	2016	6868,0	PP-PAR
22125	Huesca	2011	6822,0	CHA-IU
22130	Jaca	2008	6795,0	PP
22061	Binéfar	2011	6780,0	PP-PAR
50074	Caspe	2008	6747,0	PSOE
50251	Tarazona	2016	6708,0	PP-PAR
50272	Utebo	2011	6640,0	PSOE
22112	Fraga	2015	6620,0	PP-PAR
22125	Huesca	2019	6440,0	Cs
22061	Binéfar	2008	6410,0	PSOE
22048	Barbastro	2016	6354,0	PSOE
44013	Alcañiz	2019	6345,0	PP
50089	Cuarte de Huerva	2016	6331,0	PP-PAR
22158	Monzón	2016	6313,0	PSOE
22048	Barbastro	2015	6267,0	PSOE
50067	Calatayud	2015	6237,0	PSOE
22130	Jaca	2016	6182,0	PP-PAR
50272	Utebo	2019	6166,0	PP
22158	Monzón	2015	6140,0	PSOE
22130	Jaca	2019	6121,0	PSOE
50272	Utebo	2015	6102,0	PP-PAR
50251	Tarazona	2015	6013,0	PP-PAR
44013	Alcañiz	2019	6005,0	PSOE
22112	Fraga	2019	5891,0	PP
50095	Ejea de los Caballeros	2019	5814,0	PP
50252	Tauste	2011	5756,0	PP-PAR
50297	Zaragoza	2008	5706,0	LV
44013	Alcañiz	2011	5705,0	PSOE
50272	Utebo	2016	5696,0	PSOE
50251	Tarazona	2019	5688,0	PSOE
22130	Jaca	2011	5685,0	PSOE
50089	Cuarte de Huerva	2019	5675,0	PP
50298	Zuera	2011	5571,0	PP-PAR
22112	Fraga	2011	5563,0	PSOE
50272	Utebo	2015	5553,0	PSOE
22199	Sabiñánigo	2011	5547,0	PP-PAR
22125	Huesca	2015	5513,0	IU-CHA-UPeC
50251	Tarazona	2019	5432,0	PP
50008	Alagón	2008	5417,0	PSOE
22061	Binéfar	2008	5409,0	PP
22130	Jaca	2015	5398,0	PP-PAR
50298	Zuera	2008	5276,0	PSOE
50252	Tauste	2008	5252,0	PSOE
22130	Jaca	2019	5185,0	PP
44013	Alcañiz	2016	5185,0	PSOE
50089	Cuarte de Huerva	2015	5142,0	PP-PAR
22061	Binéfar	2016	5140,0	PP-PAR
50251	Tarazona	2011	5110,0	PSOE
50074	Caspe	2011	5106,0	PP-PAR
22112	Fraga	2015	5016,0	PSOE
50025	Almunia de Doña Godina (La)	2011	5005,0	PP-PAR
22199	Sabiñánigo	2019	4977,0	PSOE
50298	Zuera	2008	4967,0	PP
44013	Alcañiz	2015	4961,0	PSOE
50252	Tauste	2016	4939,0	PP-PAR
22112	Fraga	2019	4897,0	PSOE
22199	Sabiñánigo	2011	4856,0	PSOE
22130	Jaca	2016	4851,0	PSOE
50272	Utebo	2016	4842,0	PODEMOS-IU-EQUO
50272	Utebo	2015	4820,0	PODEMOS
50252	Tauste	2008	4698,0	PP
22112	Fraga	2016	4689,0	PSOE
50297	Zaragoza	2016	4652,0	UPyD
44025	Andorra	2011	4627,0	PP-PAR
22061	Binéfar	2015	4608,0	PP-PAR
50272	Utebo	2015	4529,0	C's
22130	Jaca	2015	4477,0	PSOE
50252	Tauste	2015	4409,0	PP-PAR
22199	Sabiñánigo	2008	4335,0	PP
50298	Zuera	2016	4305,0	PP-PAR
22061	Binéfar	2011	4304,0	PSOE
44025	Andorra	2011	4277,0	PSOE
50025	Almunia de Doña Godina (La)	2008	4277,0	PSOE
50074	Caspe	2011	4259,0	PSOE
22199	Sabiñánigo	2016	4226,0	PSOE
50089	Cuarte de Huerva	2015	4200,0	C's
50251	Tarazona	2016	4143,0	PSOE
50089	Cuarte de Huerva	2008	4095,0	PP
44013	Alcañiz	2019	4078,0	¡TERUEL EXISTE!
22199	Sabiñánigo	2016	4077,0	PP-PAR
