Año	Votos	Siglas	Candidatura	Provincia código	Provincia nombre
2019		PODEMOS-IU-Alto Aragón en Comú	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚ	22	Huesca
2019		PODEMOS-IU-Alto Aragón en Comú	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚ	44	Teruel
2019		PODEMOS-IU-Alto Aragón en Comú	UNIDAS PODEMOS-ALTOARAGÓN EN COMÚ	50	Zaragoza
2019	470144,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2019	439942,0	PP	PARTIDO POPULAR	50	Zaragoza
2019	153409,0	PODEMOS-IU	UNIDAS PODEMOS	50	Zaragoza
2019	140124,0	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2019	111127,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2019	102760,0	PP	PARTIDO POPULAR	22	Huesca
2019	82724,0	VOX	VOX	50	Zaragoza
2019	58714,0	PP	PARTIDO POPULAR	44	Teruel
2019	57340,0	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	44	Teruel
2019	55120,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2019	51532,0	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	50	Zaragoza
2019	27178,0	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Huesca
2019	16145,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2019	14805,0	VOX	VOX	22	Huesca
2019	11166,0	PODEMOS-IU	UNIDAS PODEMOS	44	Teruel
2019	10797,0	Cs	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	44	Teruel
2019	10374,0	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2019	8357,0	VOX	VOX	44	Teruel
2019	7622,0	CHA	CHUNTA ARAGONESISTA	22	Huesca
2019	3962,0	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	50	Zaragoza
2019	2812,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2019	2064,0	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	50	Zaragoza
2019	1836,0	EB	ESCAÑOS EN BLANCO	22	Huesca
2019	1514,0	MAS	MOVIMIENTO ARAGONES SOCIAL	50	Zaragoza
2019	1509,0	TA	TIERRA ARAGONESA	50	Zaragoza
2019	1436,0	PUM+J	POR UN MUNDO MÁS JUSTO	50	Zaragoza
2019	929,0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	50	Zaragoza
2019	915,0	PYL	PUYALO	50	Zaragoza
2019	713,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2019	703,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2019	585,0	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	22	Huesca
2019	392,0	PUM+J	POR UN MUNDO MÁS JUSTO	22	Huesca
2019	348,0	PYL	PUYALO	22	Huesca
2019	338,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2019	291,0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	22	Huesca
2019	263,0	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	22	Huesca
2019	162,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	44	Teruel
2019	110,0	PYL	PUYALO	44	Teruel
2019	106,0	RECORTES CERO-GV	RECORTES CERO-GRUPO VERDE	44	Teruel
2019	103,0	PUM+J	POR UN MUNDO MÁS JUSTO	44	Teruel
2019	79,0	UDT	UNIÓN DE TODOS	44	Teruel
2019	30,0	AUNACV	AUNA COMUNITAT VALENCIANA	44	Teruel
2019	0,0	PODEMOS-IU	UNIDAS PODEMOS	22	Huesca
2019	0,0	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	22	Huesca
2019	0,0	¡TERUEL EXISTE!	AGRUPACIÓN DE ELECTORES TERUEL EXISTE	50	Zaragoza
2019	0,0	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	22	Huesca
2019	0,0	M PAÍS-CHA-EQUO	MÁS PAÍS-CHUNTA ARAGONESISTA-EQUO	44	Teruel
2019	0,0	EB	ESCAÑOS EN BLANCO	44	Teruel
2019	0,0	CHA	CHUNTA ARAGONESISTA	44	Teruel
2019	0,0	CHA	CHUNTA ARAGONESISTA	50	Zaragoza
2019	0,0	MAS	MOVIMIENTO ARAGONES SOCIAL	22	Huesca
2019	0,0	MAS	MOVIMIENTO ARAGONES SOCIAL	44	Teruel
2019	0,0	TA	TIERRA ARAGONESA	22	Huesca
2019	0,0	TA	TIERRA ARAGONESA	44	Teruel
2019	0,0	FIA	FEDERACIÓN DE LOS INDEPENDIENTES DE ARAGÓ	44	Teruel
2019	0,0	PCTE	PARTIDO COMUNISTA DE LOS TRABAJADORES DE ESPAÑA	44	Teruel
2019	0,0	AUNACV	AUNA COMUNITAT VALENCIANA	22	Huesca
2019	0,0	AUNACV	AUNA COMUNITAT VALENCIANA	50	Zaragoza
2019	0,0	UDT	UNIÓN DE TODOS	22	Huesca
2019	0,0	UDT	UNIÓN DE TODOS	50	Zaragoza
2016	518422,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	50	Zaragoza
2016	360420,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2016	269958,0	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN	50	Zaragoza
2016	193990,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2016	123128,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	22	Huesca
2016	89431,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
2016	59568,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON EL PARTIDO ARAGONÉS	44	Teruel
2016	58148,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	44	Teruel
2016	54762,0	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ALTO ARAGÓN	22	Huesca
2016	38536,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	22	Huesca
2016	29767,0	PODEMOS-IU-EQUO	UNIDOS PODEMOS EN ARAGÓN	44	Teruel
2016	22056,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	44	Teruel
2016	21460,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	50	Zaragoza
2016	18380,0	EB	ESCAÑOS EN BLANCO	50	Zaragoza
2016	5620,0	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	50	Zaragoza
2016	4929,0	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	50	Zaragoza
2016	4388,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	22	Huesca
2016	3307,0	VOX	VOX	50	Zaragoza
2016	3168,0	EB	ESCAÑOS EN BLANCO	22	Huesca
2016	2361,0	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	50	Zaragoza
2016	2046,0	PACMA	PARTIDO ANIMALISTA CONTRA EL MALTRATO ANIMAL	44	Teruel
2016	1495,0	EB	ESCAÑOS EN BLANCO	44	Teruel
2016	1436,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	50	Zaragoza
2016	1322,0	MAS	MOVIMIENTO ARAGONÉS SOCIAL	50	Zaragoza
2016	1192,0	VOX	VOX	22	Huesca
2016	756,0	ENTABAN	ENTABAN	22	Huesca
2016	637,0	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	22	Huesca
2016	577,0	UPyD	UNIÓN PROGRESO Y DEMOCRACIA	22	Huesca
2016	487,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	22	Huesca
2016	354,0	MAS	MOVIMIENTO ARAGONÉS SOCIAL	22	Huesca
2016	302,0	FE de las JONS	FALANGE ESPAÑOLA DE LAS JONS	44	Teruel
2016	238,0	RECORTES CERO-GRUPO VERDE	RECORTES CERO-GRUPO VERDE	44	Teruel
2016	175,0	PCPE	PARTIDO COMUNISTA DE LOS PUEBLOS DE ESPAÑA	44	Teruel
2016	160,0	MAS	MOVIMIENTO ARAGONÉS SOCIAL	44	Teruel
2016	107,0	INDEPENDIENTES-FIA	INDEPENDIENTES POR ARAGÓN	44	Teruel
2016	72,0	UDT	UNIÓN DE TODOS	44	Teruel
2015	458863,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS	50	Zaragoza
2015	328255,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	50	Zaragoza
2015	255526,0	PODEMOS	PODEMOS	50	Zaragoza
2015	202106,0	C's	CIUDADANOS-PARTIDO DE LA CIUDADANÍA	50	Zaragoza
2015	111636,0	PP-PAR	PARTIDO POPULAR EN COALICIÓN CON PARTIDO ARAGONÉS	22	Huesca
2015	97903,0	IU-CHA-UPeC	UNIDAD POPULAR: IZQUIERDA UNIDA, CHUNTA ARAGONESISTA, UNIDAD POPULAR EN COMÚN	50	Zaragoza
2015	85766,0	PSOE	PARTIDO SOCIALISTA OBRERO ESPAÑOL	22	Huesca
